sentence_good	sentence_bad	error_type	field
Finally, some young mothers find it boring to spend all the time with babies, nurishing and entertaining them.	Finally, some young mothers find it boring to spend all the with babies, nurishing and entertaining them.	Absence_comp_sent	discourse
What is interesting is that, the number of girls dropped by nearly 4,5 times, whereas the number of boys declined only by 50 per cent.	What is interesting, the number of girls dropped by nearly 4,5 times, whereas the number of boys declined only by 50 per cent.	Absence_comp_sent	discourse
Another trend is that in 2000 the number of boys deprived of education was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Another trend is that in 2000 the number of boys was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Absence_comp_sent	discourse
Another trend is that in 2000 the number of boys was bigger than the number of such girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Another trend is that in 2000 the number of boys was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Absence_comp_sent	discourse
First of all, travelling by plane is fastest way to travel to other countries.	First of all, planes is fastest way to travel to other countries.	Absence_comp_sent	discourse
For example, males in the age of 16-24 do exercises in the course of the day nearly 300 minutes, while women of the same age hardly could spent more than 100 minutes.	For example, males in the age of 16-24 do exercises in the course of nearly 300 minutes, while women of the same age hardly could spent more than 100 minutes.	Absence_comp_sent	discourse
Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than older do.	Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than the older ones.	Absence_comp_sent	discourse
While some people says the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	While some says the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	Absence_comp_sent	discourse
At a whole, men are more physically developed, and women are more capable of doing a repeatable machanical work is much easier for them, such a clothing is.	At a whole, men are more physically developed, and more capable of doing a repeatable machanical work is much easier for them, such a clothing is.	Absence_comp_sent	discourse
At a whole, men are more physically developed, and more capable of doing a repeatable machanical work which is much easier for them, such a clothing is.	At a whole, men are more physically developed, and more capable of doing a repeatable machanical work is much easier for them, such a clothing is.	Absence_comp_sent	discourse
For example, girls move attentivly than boys, they are ready for help in higher way.	For example, girls move attentivly than boys, they ready for help in higher way.	Absence_comp_sent	discourse
In conclusion, I would like to say that universities make right choise, when they accept equal number of male and female in every subject, but it is not availible now, case of the general population of male and female is not the same.	In conclusion, I would like to say that universities make right choise, when accept equal number of male and female in every subject, but it is not availible now, case of the general population of male and female is not the same.	Absence_comp_sent	discourse
The graph illustrates the proportion of the population aged 65 and over between 1940 and 2040.	The graph illustrates the proportion the population aged 65 and over between 1940 and 2040.	Absence_comp_sent	discourse
Moreover, it is maybe to add that the proportion is slighly dicrease, and after that it goes up sharply.	Moreover, it is maybe to add that the proportion is slighly dicrease, and after it goes up sharply.	Absence_comp_sent	discourse
The second, the graph clearly shows that the proportion of Japan was not very high, but gradually it begin to grow and we can see between 2020 and 2040 how the proportion sharply grows up, and in 2040 it is about 27%, which is more that other countries.	The second, the graph clearly shows that the proportion of Japan was not very high, but gradually it begin to grow and we can see between 2020 and 2040 how the proportion sharply grows up, and in 2040 it is about 27%, that more that other countries.	Absence_comp_sent	discourse
Some people believe that the amount of male and female students in universities should be the same for every subject.	Some people believe that the amount of male and female in universities should be the same for every subject.	Absence_comp_sent	discourse
At the same time in Japan had steady decreasing from 5 to 3 percent.	At the same time Japan had steady decreasing from 5 to 3 percent.	Absence_comp_sent	discourse
Although I am convinced that manicind cannot tolerate with discrimination between genders, I suppose, that setting up the equal numbers of male and female students in every subject is incorrect, because this approach would not take info account some important conditious and will lead to greater discrimination.	Although I am convinced that manicind cannot tolerate with discrimination between genders, I suppose, that setting up the equal numbers of male and female in every subject is incorrect, because this approach would not take info account some important conditious and will lead to greater discrimination.	Absence_comp_sent	discourse
For instance, if there is only two girls who would like to go enter math faculty it means that only two boys can learn math despite on other pretendends desiring to enter this faculty.	For instance, if there is only two girls would like to go enter math faculty it means that only two boys can learn math despite on other pretendends desiring to enter this faculty.	Absence_comp_sent	discourse
For instance, if there is only two girls would like to go enter math faculty it means that only two boys can learn math despite on other pretendends want to enter this faculty.	For instance, if there is only two girls would like to go enter math faculty it means that only two boys can learn math despite on other pretendends desiring to enter this faculty.	Absence_comp_sent	discourse
Firstly, there is general tendency to rise of the population of individuals aged 65 and over .	Firstly, there is general tendency to rise of the population aged 65 and over.	Absence_comp_sent	discourse
To sum up, in the middle of last century the population of countries was younger than it will be in the middle of the next century.	To sum up, in the middle of last century the population of countries was younger than it will in the middle of the next century.	Absence_comp_sent	discourse
The topic of difference between the numbers of male and female students in different spheres of studing is very important in modern world, because nowadays question of equal rights and opportunities is topical for large amount of people and organization.	The topic of difference between male and female in different spheres of studing is very important in modern world, because nowadays question of equal rights and opportunities is topical for large amount of people and organization.	Absence_comp_sent	discourse
I strongly disagree with them and I think that some subject is more benifit for male and some others for female students.	I strongly disagree with them and I think that some subject is more benifit for male and some others for female.	Absence_comp_sent	discourse
For instance, some subjects is needed in enormous force such as building or engineering may do.	For instance, some subjects is needed in enormous force such as building or some technique specialization, engeneering.	Absence_comp_sent	discourse
The most significant number of changes connected with the proportion of population is in Sweden.	The most amount of changes connected with proportion of population in Sweden.	Absence_comp_sent	discourse
For instance, in some Universities with technical subjects there are only 10 girls and 20 boys in a group.	For instance, in some Universities with technical subjects there only 10 girls and 20 boys in group.	Absence_comp_sent	discourse
