sentence_good	sentence_bad	error_type	field
By contrast, profits of HTC and Blackberry fell during these years and Samsung income were the same level in 2015 as in 2010.	By contrast, profits of HTC and Blackberry fell during this years and Samsung income were the same level in 2015 as in 2010.	Agreement_errors	morphology
By contrast, profits of HTC and Blackberry fell during this years and Samsung income was the same level in 2015 as in 2010.	By contrast, profits of HTC and Blackberry fell during this years and Samsung income were the same level in 2015 as in 2010.	Agreement_errors	morphology
In 2010, profit of Apple was approximately 40% share.	In 2010, profit of Apple were approximately 40% share.	Agreement_errors	morphology
Whereas income of HTC was about 10% and incomes of Samsung and Blackberry were 15% and 20% respectively.	Whereas income of HTC were about 10% and incomes of Samsung and Blackberry were 15% and 20% respectively.	Agreement_errors	morphology
The overall trend of Apple profits is obviously upward, while Blackberry and HTC show the downward trend.	The overall trend of Apple profits is obviously upward, while Blackberry and HTC shows the downward trend.	Agreement_errors	morphology
Anyway, this decision does not always benefit the children`s fostering and can raise some essential issues.	Anyway, this decision do not always benefit the children`s fostering and can raise some essential issues.	Agreement_errors	morphology
The given charts present information on the number of boys and girls from different regions without access to primary school in 2000 and 2012.	The given charts presents information on the number of boys and girls from different regions without access to primary school in 2000 and 2012.	Agreement_errors	morphology
First of all, according to the statistic much more poisonous gases and exhaust fumes are produced by cars, due to this fact it will be more useful to introduce more laws for reducing amount of cars which is constantly rising nowadays.	First of all, according to the statistic much more poisonous gas and exhaust fumes are produced by cars, due to this fact it will be more useful to introduce more laws for reducing amount of cars which is constantly rising nowadays.	Agreement_errors	morphology
However, these kinds of transport produce more waste in the atmosphere.	However, this kinds of transport produce more waste in the atmosphere.	Agreement_errors	morphology
As a result, these laws for reducing air travel will not be effective and useful for the environment and will lead to crisis.	As a result, this laws for reducing air travel will not be effective and useful for the environment and will lead to crisis.	Agreement_errors	morphology
In addition, this type of travel causes serious and dangerous long-term outcomes, especially global warming, hence contemporary governments have to take measures to prevent future disasters and destruction of the nature.	In addition, this type of travel cause serious and dangerous long-term outcomes, especially global warming, hence contemporary governments have to take measures to prevent future disasters and destruction of the nature.	Agreement_errors	morphology
On the other hand, introducing new laws to reduce the usage of air transport significantly seems to be too strict and not adequate to the situation, because it is still the fastest and the most comfortable way of moving from one place to another.	On the other hand, introducing new laws to reduce the usage of air transport significantly seem to be too strict and not adequate to the situation, because it is still the fastest and the most comfortable way of moving from one place to another.	Agreement_errors	morphology
While some say the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	While some says the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	Agreement_errors	morphology
Given diagram demonstrates the proportion of population aged 65 and over in Japan, Sweden and the United States from 1940 to 2040.	Given diagram visualize the proportion of population aged 65 and over in Japan, Sweden and the United States from 1940 to 2040.	Agreement_errors	morphology
The percentage of population develops in equal way in the USA and Sweden from 1940 to 1990 and it was 9 percent and 7 percent.	The percentage of population develops in equal way in the USA and Sweden from 1940 to 1990 and it consist 9 percent and 7 percent.	Agreement_errors	morphology
In different scientific articles or materials it can be founded, that male and female have different types and strategies of thinking.	In different scientific articles or materials it can be founded, that male and female has different types and strategies of thinking.	Agreement_errors	morphology
Moreover, it should be noted that number of male and female students influences behavior.	Moreover, it should be noted that number of male and female students influence behavior.	Agreement_errors	morphology
It can be seen from the graph that the greatest mount of old people was in the USA.	It can be seen from the graph that the greatest mount of old people were in the USA.	Agreement_errors	morphology
It mades almost 10 percents of population in 1940 while in Japan people of th same age group were represented with 5 percents of all the citizens and in Sweden this number was about 7 percents.	It mades almost 10 percents of population in 1940 while in Japan people of th same age group were represented with 5 percents of all the citizens and in Sweden this number were about 7 percents.	Agreement_errors	morphology
To my mind, there are no reasonable arguments for limitting the number of students due their gender.	To my mind, there is no reasonable arguments for limitting the number of students due their gender.	Agreement_errors	morphology
The proportion of the populations in Sweden and USA is almost equal, although there is considerable growht between 2000 and 2020.	The proportion of the populations in Sweden and USA are almost equal, although there is considerable growht between 2000 and 2020.	Agreement_errors	morphology
The main argument for this point of view is that everybody is equal in their rights that is why the opportunities should be the same.	The main argument for this point of view is that everybody are equal in their rights that is why the opportunities should be the same.	Agreement_errors	morphology
There are a lot of examples of occupations where the majority of successful persons are only male: soldier, fireman, builter, ect.	There are a lot of examples of occupations where the majority of successful persons is only male: soldier, fireman, builter, ect.	Agreement_errors	morphology
That means there are no gender, racial or other social barriers while younger people attend any University, that would make the abilities to get a higher education shrinked or abolished for some groups.	That means there is no gender, racial or other social barriers while younger people attend any University, that would make the abilities to get a higher education shrinked or abolished for some groups.	Agreement_errors	morphology
The second reason is that equaling the numbers correlate with the fairness of getting the higher education in noway.	The second reason is that equaling the numbers correlates with the fairness of getting the higher education in noway.	Agreement_errors	morphology
Tendences of changing propontions are not so obvious but Sweden and USA have nearly the same situvoion in part of graphic which represents period from 1940 to 1980.	Tendences of changing propontions is not so obvious but Sweden and USA have nearly the same situvoion in part of graphic which represents period from 1940 to 1980.	Agreement_errors	morphology
Inspite of these facts, graphic shows suggested tendency of dramut: cully increasing proportion for all of three countries.	Inspite of this facts, graphic shows suggested tendency of dramut: cully increasing proportion for all of three countries.	Agreement_errors	morphology
The question of the sex descrimination was opened not so long ago, but several actions of femenistic movemerts have led to certain resullts.	The question of the sex descrimination was opened not so long ago, but several actions of femenistic movemerts has lead to certain resullts.	Agreement_errors	morphology
There will be fair fight between male and female minds, but mankind knows so many male names, and so little number of female important persons in science and politics.	There will be fair fight between male and female minds, but mankind know so many male names, and so little number of female important persons in science and politics.	Agreement_errors	morphology
Throughout the history there have always been some subjects that appealed mostly males, while another disciplines were attractive mainly for females.	Throughout the history there has always been some subjects that appealed mostly males, while another disciplines were attractive mainly for females.	Agreement_errors	morphology
Secondly, Japan citizens always were very young because in their population 65-years people was not over then 5%.	Secondly, Japan citizens always was very young because in their population 65-years people was not over then 5%.	Agreement_errors	morphology
I strongly disagree with them and I think that some subject are more benifit for male and some others for female.	I strongly disagree with them and I think that some subject is more benifit for male and some others for female.	Agreement_errors	morphology
Obviously, girls are able to take knowledge about these subjects but they cannot to work and use their knowledge in practice.	Obviously, girls are able to take knowledge about this subjects but they cannot to work and use their knowledge in practice.	Agreement_errors	morphology
If universities give equal access to different direction for women and men they can choose so we get modern society with develop professions where every person does work which can be done by their individual skills.	If universities give equal access to different direction for women and men they can choose so we get modern society with develop professions where every person do work which can be done by their individual skills.	Agreement_errors	morphology
For example, my friend from Ukraine has told me, that the reason why his family encourages the actions of current revolution is complet misunderstand and frustration connecting with governmental apporat.	For example, my friend from Ukraine have told me, that the reason why his family encourages the actions of current revolution is complet misunderstand and frustration connecting with governmental apporat.	Agreement_errors	morphology
For example, I've read about person, who has more male interests that female's ones and behaves herself according to rules, which society always consideres as male one.	For example, I've read about person, who has more male interests that female's ones and behave herself according to rules, which society always consideres as male one.	Agreement_errors	morphology
USA is more constant, proportion of population rise, but temps is much lower.	USA is more constant, proportion of population rise, but temps are much lower.	Agreement_errors	morphology
This is the fact which helps us to conclude that peoples' life will be longer.	This is the fact which help us to conclude that peoples' life will be longer.	Agreement_errors	morphology
Moreover the number of young people decreases from 1940 to 2040.	Moreover the number of young people decrease from 1940 to 2040.	Agreement_errors	morphology
Today there are a great number of discussions about male/female relationships.	Today there is a great number of discussions about male/female relationships.	Agreement_errors	morphology
First of all, there is a necesity to say that one of the advantages of this system of accepting students is the equallity between men and women.	First of all, there is a necesity to say that one of the advantages of these type of accepting students is the equallity between men and women.	Agreement_errors	morphology
Moreover, there are a plenty of scientist's researchs convincing that working between male and female groups of people in equall proportions gives a much more favor.	Moreover, there is a plenty of scientist's researchs convincing that working between male and female groups of people in equall proportions gives a much more favor.	Agreement_errors	morphology
The percentage of population aged 65 and over in USA is guaducelly increasing during these 100 years like in Sweden.	The percentage of population aged 65 and over in USA is guaducelly increasing during this 100 years like in Sweden.	Agreement_errors	morphology
It depend on character of work, its aims and audience.	It depends on character of work, its aims and audience.	Agreement_errors	morphology
We should not create barriers for ahibitious persons and accept persons, who don't have interest in education, just because of sex equality.	We should not create barriers for ahibitious persons and accept persons, who doesn't have interest in education, just because of sex equality.	Agreement_errors	morphology
First of all, if we speak of equality of men and women we should make a notice that this also means that women could not do some work which is not suit them (take heavy things).	First of all, if we speak of equality of men and women we should make a notice that this also mean that women could not do some work which is not suit them (take heavy things).	Agreement_errors	morphology
The indicators are devided on 3 groups with countries: Japan, Sweden and USA, and show changes in the 100 year period from 1940 to 2040.	The indicators are devided on 3 groups with countries: Japan, Sweden and USA, and shows changes in the 100 year period from 1940 to 2040.	Agreement_errors	morphology
