sentence_good	sentence_bad	error_type	field
To sum up, this bar chart shows positive statistics since the numbers of primary school students rised dramatically.	To sum up, this bar chart shows positive statistics since the number of primary school students rised dramatically.	Noun_number	morphology
In my opinion, plane is one of the greatest inventions in the history and we should take the best out of it.	In my opinion, planes is one of the greatest inventions in the history and we should take the best out of it.	Noun_number	morphology
Nowadays, people just cannot afford themselves spending days and weeks on travelling by car or ships.	Nowadays, people just cannot afford themselves spending days and weeks on travelling by cars or ships.	Noun_number	morphology
Nowadays, people just cannot afford themselves spending days and weeks on travelling by cars or ship.	Nowadays, people just cannot afford themselves spending days and weeks on travelling by cars or ships.	Noun_number	morphology
Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercise than the older ones.	Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than the older ones.	Noun_number	morphology
There are different points of views on what the main functions of social networks are.	There are different point of views on what the main functions of social networks are.	Noun_number	morphology
There are different point of view on what the main functions of social networks are.	There are different point of views on what the main functions of social networks are.	Noun_number	morphology
Moreover, it should be noted that the number of male and female students influence behavior.	Moreover, it should be noted that number of male and female students influence behavior.	Noun_number	morphology
In conclusion, I would like to say that universities make right choise, when accept equal numbers of male and female in every subject, but it is not availible now, case of the general population of male and female is not the same.	In conclusion, I would like to say that universities make right choise, when accept equal number of male and female in every subject, but it is not availible now, case of the general population of male and female is not the same.	Noun_number	morphology
There is no doubt, that people of every social group should be equally presented in every social institution.	There is no doubt, that people of every social groups should be equally presented in every social institution.	Noun_number	morphology
To my mind, there is no reasonable argument for limitting the number of students due their gender.	To my mind, there is no reasonable arguments for limitting the number of students due their gender.	Noun_number	morphology
Is it fair to give preference to this or that young person because of their race, religion or gender?	Is it fair to give preferences to this or that young person because of their race, religion or gender?	Noun_number	morphology
The universities are obliged to hold different entrance lists for men and women with different entrance marks.	The universities are obliged to hold different entrance lists for man and women with different entrance marks.	Noun_number	morphology
In conclusion, it can be inferred that America and Sweden have almost the same trends of rise of aged people.	In conclusion, it can be inferred that America and Sweden have almost the same trend of rise of aged people.	Noun_number	morphology
For example, it is a common knowledge that such profession as a driver has always been connected with men because it requires high physical and mental abilities.	For example, it is a common knowledge that such profession as a driver has always been connected with man because it requires high physical and mental abilities.	Noun_number	morphology
For instance, it is obvious that during the whole history of the world men were always prominent in the sphere of technology and physics.	For instance, it is obvious that during the whole history of the world man were always prominent in the sphere of technology and physics.	Noun_number	morphology
Therefore, it would be unfair to deprive men from opportunity to make new discoveries in this field.	Therefore, it would be unfair to deprive man from opportunity to make new discoveries in this field.	Noun_number	morphology
Nevertheless, some people assert that it is a good decision because it makes men and women equal in their right to get a place in a particular subjects.	Nevertheless, some people assert that it is a good decision because it makes man and women equal in their right to get a place in a particular subjects.	Noun_number	morphology
Nevertheless, some people assert that it is a good decision because it makes man and women equal in their right to get a place in a particular subject.	Nevertheless, some people assert that it is a good decision because it makes man and women equal in their right to get a place in a particular subjects.	Noun_number	morphology
In conclusion, I would like to emphasize that both men and woman should be able to choose their subject independly and the amount of people to every discipline by no means should be determined by universities.	In conclusion, I would like to emphasize that both man and woman should be able to choose their subject independly and the amount of people to every discipline by no means should be determined by universities.	Noun_number	morphology
In conclusion, I would like to emphasize that both man and women should be able to choose their subject independly and the amount of people to every discipline by no means should be determined by universities.	In conclusion, I would like to emphasize that both man and woman should be able to choose their subject independly and the amount of people to every discipline by no means should be determined by universities.	Noun_number	morphology
Moreover, there are more differences betwen the Sweden and USA lines behavior and the Japanese line's behavior than between Sweden and USA lines.	Moreover, there are more differences betwen the Sweden and USA line's behavior and the Japanese line's behavior than between Sweden and USA lines.	Noun_number	morphology
However, that doesn't mean that female students shouldn't be accepted for these courses - if they have enough knowledge and intention to study these subjects why don't they be accepted?	However, that doesn't mean that female students shouldn't be accepted for these courses - if they have enough knowledge and intention to study these subject why don't they be accepted?	Noun_number	morphology
