sentence_good	sentence_bad	error_type	field
from 2010 to 2015, Apple`s figure had upward trend, when Blackberry and HTC had downward trend and Samsung rised to its highest point and then decreased to the start level.	Over the period from 2010 to 2015, Apple`s figure had upward trend, when Blackberry and HTC had downward trend and Samsung rised to its highest point and then decreased to the start level.	Redundant_comp	discourse
The share of Apple profits dramaticly increases from 2010 to 2012, starting at the level of 40% and reaching 70%.	The percentage share of Apple profits dramaticly increases from 2010 to 2012, starting at the level of 40% and reaching 70%.	Redundant_comp	discourse
Similarly to this, Samsung profits gradually rises over the first three years from the amount of approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on the level of less than 15%.	Similarly to this, Samsung`s rate of profits gradually rises over the first three years from the amount of approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on the level of less than 15%.	Redundant_comp	discourse
Similarly to this, Samsung`s rate of profits gradually rises over the first three years from approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on the level of less than 15%.	Similarly to this, Samsung`s rate of profits gradually rises over the first three years from the amount of approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on the level of less than 15%.	Redundant_comp	discourse
Similarly to this, Samsung`s rate of profits gradually rises over the first three years from the amount of approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on less than 15%.	Similarly to this, Samsung`s rate of profits gradually rises over the first three years from the amount of approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on the level of less than 15%.	Redundant_comp	discourse
As or Blackberry and HTC profits, they start in the region of 10%, show some fluctuations and have a slow but steady decline through the next couple years.	As or numbers, referring to Blackberry and HTC profits, they start in the region of 10%, show some fluctuations and have a slow but steady decline through the next couple years.	Redundant_comp	discourse
the first one, kids suffer from lack of attention and control, and it can result in involving them into troubles, such as street fighting, smoking, drinking alcohol or some criminal issues.	As for the first one, kids suffer from lack of attention and control, and it can result in involving them into troubles, such as street fighting, smoking, drinking alcohol or some criminal issues.	Redundant_comp	discourse
As for the first one, kids suffer from lack of attention and control, and it can result in troubles, such as street fighting, smoking, drinking alcohol or some criminal issues.	As for the first one, kids suffer from lack of attention and control, and it can result in involving them into troubles, such as street fighting, smoking, drinking alcohol or some criminal issues.	Redundant_comp	discourse
Secondly, instead of having some delightful discussions with parents, children dedicate all the spare time to computer and any other electronic gadgets.	Secondly, instead of playing having some delightful discussions with parents, children dedicate all the spare time to computer and any other electronic gadgets.	Redundant_comp	discourse
Secondly, instead of playing having some delightful discussions with parents, children dedicate all the spare time to computer and other electronic gadgets.	Secondly, instead of playing having some delightful discussions with parents, children dedicate all the spare time to computer and any other electronic gadgets.	Redundant_comp	discourse
Finally, if all its members lose interest in daily routine of each other they fall apart.	Finally, if all its members lose interest in daily routine of each other and they fall apart.	Redundant_comp	discourse
Environment pollution and global warming are the global problems we are facing today.	Environment pollution and global warming are one of the global problems we are facing today.	Redundant_comp	discourse
I think that this idea is unnecessary .	I think that this idea is unnecessary at all.	Redundant_comp	discourse
In the past this could take much more time.	In the past this way could take much more time.	Redundant_comp	discourse
The overall trend is the significant decreasing in number of children all over the world without a primary education at school.	The overall trend is the significant decreasing in number of children from all over the world without a primary education at school.	Redundant_comp	discourse
The overall trend is the significant decreasing in number of children from all over the world without a primary education .	The overall trend is the significant decreasing in number of children from all over the world without a primary education at school.	Redundant_comp	discourse
According to the chart the greatest number of children without access to primary education was in Africa in 2000 2000 (more than 43 millions).	According to the chart the greatest number of children without access to primary education was in Africa in 2000 year (more than 43 millions).	Redundant_comp	discourse
As for me, I strongly disagree with this opinion.	As for me, I strongly disagree with this idea.	Redundant_comp	discourse
Moreover, reducing the amount of air flights will cause some kind of economic crises for airlines and influence the number of people who will start use their private transport such as cars, and using of trains and ferries is also will increase.	Moreover, reducing the amount of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and using of trains and ferries is also will increase.	Redundant_comp	discourse
Moreover, reducing the amount of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and trains and ferries is also will increase.	Moreover, reducing the amount of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and using of trains and ferries is also will increase.	Redundant_comp	discourse
Moreover, reducing the amount of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and using of trains and ferries .	Moreover, reducing the amount of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and using of trains and ferries is also will increase.	Redundant_comp	discourse
As a result, this laws for reducing air travel will not be effective for the environment and will lead to crisis.	As a result, this laws for reducing air travel will not be effective and useful for the environment and will lead to crisis.	Redundant_comp	discourse
However, decreasing of air travel will lead to some positive effects as more strict rules for technical equipment of planes, as a result, air flights will become not only more nature friendly, but also safier for passengers.	However, decreasing of number air travel will lead to some positive effects as more strict rules for technical equipment of planes, as a result, air flights will become not only more nature friendly, but also safier for passengers.	Redundant_comp	discourse
In conclusion, I must say that reducing the amount of air travel by introducing laws the government is a quite useless idea which will not help to decrease air pollution or global warming significantly, but will lead to serious economic problems all over the world.	In conclusion, I must say that reducing the amount of air travel by introducing laws be government is a quite useless idea which will not help to decrease air pollution or global warming significantly, but will lead to serious economic problems all over the world.	Redundant_comp	discourse
However, some people are certain that air travels have disasterous effect on environment .	However, some people are certain that air travels have disasterous effect on environment condition.	Redundant_comp	discourse
On one hand, great amount of air travel is damaging nature every day, not only because they consume huge number of resources, such as oil, but also because of poisoned gas and waist thrown into the air.	On one hand, great amount of air travel is damaging nature every day, not only because they consume huge number of resources, such as fuel, oil, but also because of poisoned gas and waist thrown into the air.	Redundant_comp	discourse
Moreover, there are lots of alternative ways in solving problem of air pollution, except making laws: such as, finding new efficient sources of energy or improving air cleaning systems, or even making engines more efficient and less polluting.	Moreover, there are lots of alternative ways in solving problem of air pollution, except making laws: for example, finding new efficient sources of energy or improving air cleaning systems, or even making engines more efficient and less polluting.	Redundant_comp	discourse
In conclusion, I would like to say that the best solution is to improve effectiveness of engines and to make the amount of gas thrown into the atmosphere until we find a new way of transportation, which would be faster, more comfortable and less damaging to our planet.	In conclusion, I would like to say that the best solution is to improve effectiveness of engines and to make the amount of gas thrown into the atmosphere fall down, until we find a new way of transportation, which would be faster, more comfortable and less damaging to our planet.	Redundant_comp	discourse
The following chart provides information about the amount of time spent on sports activity by the English citizens of different age and gender.	The following chart provides information about the amount of time spent, in general, on sports activity by the English citizens of different age and gender.	Redundant_comp	discourse
For example, males in the age of 16-24 do exercises in the course of nearly 300 minutes, while women of the same age hardly spent more than 100 minutes.	For example, males in the age of 16-24 do exercises in the course of nearly 300 minutes, while women of the same age hardly could spent more than 100 minutes.	Redundant_comp	discourse
Overall, men in England are more active in doing sports than women, and the younger people spend more time on exercises than the older ones.	Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than the older ones.	Redundant_comp	discourse
Many of ordinary citizens claim that they discussed serious matters at work, and at home, sitting in front of the computer, they just want to relax.	Many of ordinary citizens claim that they discussed enough serious matters at work, and at home, sitting in front of the computer, they just want to relax.	Redundant_comp	discourse
Having said that, entertainment and sharing of knowledge are both very important functions of social media, the last one seems to be more important for modern people.	Having said that, although.	Redundant_comp	discourse
