sentence_good	sentence_bad	error_type	field
From the graph it can be noted that the proportion of the population aged 65 and over increases from 1940 to 2040 years in all countries which are presented.	From the graph it can be noted that the proportion of the population aged 65 and over increases from 1940 to 2040 years in all countries, which are presented.	Relative_clause	syntax
The number of periods when  percentage falls down is not big.	The number of periods, when percentage falls down is not big.	Relative_clause	syntax
First of all, in that situation all of students should feel better, than in the situation when in class there are more girls or boys.	First of all, in that situation all of students should feel better, than in the situation, when in class there are more girls or boys.	Relative_clause	syntax
There also must be mentioned that Japan was on the 3rd place, according to the graph, till 2030  , when Japanese line took 1st place.	There also must be mentioned that Japan was on the 3rd place, according to the graph, till 2030 when Japanese line took 1st place.	Relative_clause	syntax
If a student wants to study a subject  where there is not a place for him or her, so it is problem.	If a student wants to study a subject, where there is not a place for him or her, so it is problem.	Relative_clause	syntax
For example, last year my brother dod not get a place in subject  which he wanted to study, and now he don not enjoy studying absolutely.	For example, last year my brother dod not get a place in subject, which he wanted to study, and now he don not enjoy studying absolutely.	Relative_clause	syntax
For instance, there are situations  when a lot of students want to study one subject, and other small group of students wants to study other subjects, so problem is how to destingrush places of subjects equally.	For instance, there are situations, when a lot of students want to study one subject, and other small group of students wants to study other subjects, so problem is how to destingrush places of subjects equally.	Relative_clause	syntax
The second argument may be that in such situation when the amount of male and female students in every faculty is equal everybody will ful comfortable because there will not be a majority of girls, for instance, and it will be easier for everybody to communicate and find friends.	The second argument may be that in such situation, when the amount of male and female students in every faculty is equal everybody will ful comfortable because there will not be a majority of girls, for instance, and it will be easier for everybody to communicate and find friends.	Relative_clause	syntax
For example, I've read about person who has more male interests that female's ones and behave herself according to rules, which society always consideres as male one.	For example, I've read about person, who has more male interests that female's ones and behave herself according to rules, which society always consideres as male one.	Relative_clause	syntax
For example, I've read about person, who has more male interests that female's ones and behave herself according to rules which society always consideres as male one.	For example, I've read about person, who has more male interests that female's ones and behave herself according to rules, which society always consideres as male one.	Relative_clause	syntax
For example, I know a girl who studied only with other girls.	For example, I know a girl, who studied only with other girls.	Relative_clause	syntax
Besides, the population of old people will increase at the end of the period of time which is taken into account in the task.	Besides, the population of old people will increase at the end of the period of time, which is taken into account in the task.	Relative_clause	syntax
Nowaday many universities all over the world offer a wide range of educational opportunities which should be used by both male and female students equaly.	Nowaday many universities all over the world offer a wide range of educational opportunities, which should be used by both male and female students equaly.	Relative_clause	syntax
For them it is normal when there are more male or female students in subjects, because some educational programms attract more boy's or girl's attention.	For them it is normal, when there are more male or female students in subjects, because some educational programms attract more boy's or girl's attention.	Relative_clause	syntax
Because all students should have the same opportunity to get the type of educational programm which theu want most of all.	Because all students should have the same opportunity to get the type of educational programm, which theu want most of all.	Relative_clause	syntax
Obviously, in our everyday life we often see the situation when the number of male and female students is not at the same level in many universities.	Obviously, in our everyday life we often see the situation, when the number of male and female students is not at the same level in many universities.	Relative_clause	syntax
Of course, there are several reason why boys usually choose other kind of proffession, than girls.	Of course, there are several reason, why boys usually choose other kind of proffession, than girls.	Relative_clause	syntax
Some people consider that having the equal number of boys and girls in the particular university will bring more possibilities for communication.	Some people consider, that having the equal number of boys and girls in the particular university will bring more possibilities for communication.	Relative_clause	syntax
But we can't ignore the fact that the main aim of high education is to bring up great proffesionals.	But we can't ignore the fact, that the main aim of high education is to bring up great proffesionals.	Relative_clause	syntax
Another drawback of equall accepting numbers is that it can crushed all system of university's academic freedom - government will give concrete numbers of students who schould study in universities.	Another drawback of equall accepting numbers is that it can crushed all system of university's academic freedom - government will give concrete numbers of students, who schould study in universities.	Relative_clause	syntax
By contrast, Japan's group of people 65 years old and over had been decreasing from 1940 to 1983 approximately , when it began to rise slightly, and in 2030 there would be drammatic increase from 10% to 25%.	By contrast, Japan's group of people 65 years old and over had been decreasing from 1940 to 1983 approximately, then it began to rise slightly and in 2030 there would be drammatic increase from 10% to 25%.	Relative_clause	syntax
If universities had accepted equal quantity of students in 16-19 centuries despite of their mental activity, modern society would never have industrial machines, planes and cues just because young scientist  who had innovating ideas, were not accepted university.	If universities had accepted equal quantity of students in 16-19 centuries despite of their mental activity, modern society would never have industrial machines, planes and cues just because young scientist, who had innovating ideas, were not accepted university.	Relative_clause	syntax
Thirsty, such equality would negatively affect not only a person who was not accepted by university, but also a person, who was.	Thirsty, such equality would negatively affect not only a person, who was not accepted by university, but also a person, who was.	Relative_clause	syntax
Thirsty, such equality would negatively affect not only a person, who was not accepted by university, but also a person who was.	Thirsty, such equality would negatively affect not only a person, who was not accepted by university, but also a person, who was.	Relative_clause	syntax
It will not be appropriate for university workers trying to choose students by the criteria of equality of males and females instead of professional qualities and knowledge which may have every person.	It will not be appropriate for university workers trying to choose students by the criteria of equality of males and females instead of professional qualities and knowledge, which may have every person.	Relative_clause	syntax
Some people think that there is a good idea to students study in groups in which the numbers of boys and girls would be equal, and Universities should provide this idea.	Some people think that there is a good idea to students study in groups, when the numbers of boys and girls would be equal, and Universities should provide this idea.	Relative_clause	syntax
Some problems which aren't connected with studying, may be disappeared.	Some problems, which don't conected with study, may be disappeared.	Relative_clause	syntax
So, when there is an equal number of male and female students some men who have competed only with boys, won't have an education even he is stronger in some sphere than the girl.	So, when there is an equal number of male and female students some men, who completed only with the boys, won't have an education even he is stronger in some sphere than the girl.	Relative_clause	syntax
Notisable, in the USA population of people aged 65 and over was declining between 1940 and 1990. when it started to grow In the 2030 it's predicted to be an enormous rise in population in America  , where it will reach a pear of about 27% in 2040.	Notisable, in the USA population of people aged 65 and over was declining between 1940 and 1990. when it started to grow In the 2030 it's predicted to be an enormous rise in population in America which will reach a pear of about 27% in 2040.	Relative_clause	syntax
It reaches a low from 1960 to 1960 (3%) a after the start to increase rapidly - up to 27% in 2040,  when Japan reaches it's peak.	It reaches a low from 1960 to 1960 (3%) a after the start to increase rapidly - up to 27% in 2040, there Japan reaches it's peak.	Relative_clause	syntax
All in all, I think that learning forieng language is better in secondary school, than in primary, but, they need to learning both language in secondary school, because today people have globalization in all modern countries,  where speak in many language.	All in all, I think that learning forieng language is better in secondary school, than in primary, but, they need to learning both language in secondary school, because today people have globalization in all modern countries, which speak in many language.	Relative_clause	syntax
There are lots of things  students must do at home.	There are lots of things, students must do at home.	Relative_clause	syntax
To sum up, we can see astonishing changes in technology sector,  where grow up in 20 times.	To sum up, we can see astonishing changes in technology sector, which grow up in 20 times.	Relative_clause	syntax
The opposite situation is with elder schoolers who show positive results in language education.	The opposite situation is with elder schoolers, who show positive results in language education.	Relative_clause	syntax
There are a lot of examples in history, for example 2Pac Shakure  , who  was a creater of RAP music.	There are a lot of examples in history, for example 2Pac Shakure who was a creater of RAP music.	Relative_clause	syntax
"In 20th centure Soviet Union have the policy to restrict the artists:  the ones who allow themselves to make some contraversial works were prisoned in order to make the nation more ""clean""."	"In 20th centure Soviet Union have the policy to restrict the artists: the ones, who allow themselves to make some contraversial works were prisoned in order to make the nation more ""clean""."	Relative_clause	syntax
It is clear that in a  world where many creative people with their own opinions and ideas in different countries government restrict their creative.	It is clear that in a world many creative people with their own opinions and ideas in different countries government restrict their creative.	Relative_clause	syntax
The main reason why control should be, it is many conflicts which links with provocation arts, also children should not seen all things, that open now.	The main reason why control should be, it is many conflicts, which links with provocation arts, also children should not seen all things, that open now.	Relative_clause	syntax
The main reason why control should be, it is many conflicts, which links with provocation arts, also children should not seen all things that open now.	The main reason why control should be, it is many conflicts, which links with provocation arts, also children should not seen all things, that open now.	Relative_clause	syntax
Throuout of the 20 centiry in USSR all the art was restriction by the goverment and it was the whole culture that was learnd to be great people, who don't lie and kill.	Throuout of the 20 centiry in USSR all the art was restriction by the goverment and it was the whole culture, that was learnd to be great people, who don't lie and kill.	Relative_clause	syntax
Throuout of the 20 centiry in USSR all the art was restriction by the goverment and it was the whole culture, that was learnd to be great people who don't lie and kill.	Throuout of the 20 centiry in USSR all the art was restriction by the goverment and it was the whole culture, that was learnd to be great people, who don't lie and kill.	Relative_clause	syntax
The bar chart compares the numbers of popularity between males and fe-males  who chose the different directions in their profession in 1999 in Australia.	The bar chart compares the numbers of popularity between males and fe-males whose chose the different directions in their profession in 1999 in Australia.	Relative_clause	syntax
The proportions of two groups  who chose qualifications which called Bachelor's degree had a slightly difference about 46 percent for males and about 54 percent for females.	The proportions of two groups which chose qualifications which called Bachelor's degree had a slightly difference about 46 percent for males and about 54 percent for females.	Relative_clause	syntax
I know a lot of creative people who show themselves in music, pictures, film, art, paintings convey the most unusual emotions.	I know a lot of creative people, who show themselves in music, pictures, film, art, paintings convey the most unusual emotions.	Relative_clause	syntax
The bar chart provide information about different tipes of qualifications  which people choose after the school.	The bar chart provide information about different tipes of qualifications who people choose after the school.	Relative_clause	syntax
On the one hand, in our world should be rulers,  who says that people can do and do not can.	On the one hand, in our world should be rulers, which says that people can do and do not can.	Relative_clause	syntax
Often,  when people something things, which simple people listen first time, they feel, that it is stupid and any ideas are forgot.	Often, which people something things, which simple people listen first time, they feel, that it is stupid and any ideas are forgot.	Relative_clause	syntax
At first we can remember, that we live in democraty world  where all people people and almost artists have their own freedom and the goverment shouldn't restrict their works.	At first we can remember, that we live in democraty world and all people people and almost artists have their own freedom and the goverment shouldn't restrict their works.	Relative_clause	syntax
The bar chart illustrate the percentages of  males and females who had a post-school qualifications in Australia in 1999.	The bar chart illustrate the percentages of males and females, who had a post-school qualifications in Australia in 1999.	Relative_clause	syntax
Overall, the percentages of  males who went at post-school qualifications were more, than percentages of woman, but in two in 5 poins the percentages of woman were more.	Overall, the percentages of males, who went at post-school qualifications were more, than percentages of woman, but in two in 5 poins the percentages of woman were more.	Relative_clause	syntax
I personaly feel that the artist must have a freedom, because the creative people have another poin of view and this point can help to understand something  that is important things in our live.	I personaly feel that the artist must have a freedom, because the creative people have another poin of view and this point can help to understand something, that is important things in our live.	Relative_clause	syntax
The men who has different skills and impossible gifts must be freedom, because he need on it.	The men, who has different skills and impossible gifts must be freedom, because he need on it.	Relative_clause	syntax
The least number of males has undergraduate diploma  , which account for 37 percent.	The least number of males has undergraduate diploma which account for 37 percent.	Relative_clause	syntax
Also the goverment must be no restrictions in thing which they do.	Also the goverment must be no restrictions in thing, which they do.	Relative_clause	syntax
In conclusion, I want say that I agree and disagree with this opinion, I think that both sentences is correctly, but in this must be rules which help to control all process  which link with choose correctly ideas for pictures, music and film, which do creative artists.	In conclusion, I want say that I agree and disagree with this opinion, I think that both sentences is correctly, but in this must be rules which help to control all process, which link with choose correctly ideas for pictures, music and film, which do creative artists.	Relative_clause	syntax
For exampel Yuri Gagarin or any sports people or famous actor of Russian Federation Chulpan Hamatova  , whose exampel makes the world of kinder.	For exampel Yuri Gagarin or any sports people or famous actor of Russian Federation Chulpan Hamatova that her exampel makes the world of kinder.	Relative_clause	syntax
Undergraduate diploma was the most popular qualifications for females, it was 70%  , which was approximately in 7 times more then skilled vocational diploma.	Undergraduate diploma was the most popular qualifications for females, it was 70% that approximately in 7 times more then skilled vocational diploma.	Relative_clause	syntax
Nowadays the most of the universities allow almost everyone who passed exams successfully, to study.	Nowadays the most of the universities allow almost everyone, who passed exams successfully, to study.	Relative_clause	syntax
However, those who deny these obvious facts, spot on the social reasons why the number of male and female accepted have to be equal.	However, those, who deny these obvious facts, spot on the social reasons why the number of male and female accepted have to be equal.	Relative_clause	syntax
For example, there are some subjects which do not suitable for girls and buys equally.	For example, there are some subjects, which do not suitable for girls and buys equally.	Relative_clause	syntax
For example, there are professions  which are connected with military, police, fire, life saving services and etc.	For example, there are professions, which are connected with military, police, fire, life saving services and etc.	Relative_clause	syntax
First and foremost, accepting equal number of people of different sex breaks the modern system to entering to the university  , which is based mostly on knowledge, will and labour of every particular student.	First and foremost, accepting equal number of people of different sex breaks the modern system to entering to the university which is based mostly on knowledge, will and labour of every particular student.	Relative_clause	syntax
Moreover, as it has already said our modern society is believed to have equal rights for everybody  , which means that if someone would like to choose some subject he or she should be limited only by his or her own abilities and willignness to do it and the government has no rights to restrict it.	Moreover, as it has already said our modern society is believed to have equal rights for everybody which means that if someone would like to choose some subject he or she should be limited only by his or her own abilities and willignness to do it and the government has no rights to restrict it.	Relative_clause	syntax
This chart illustrates the percentage of men and women who have different degrees of post-school qualifications in 1999 year in Australia.	This chart illustrates the percentage of men and women, who have different degrees of post-school qualifications in 1999 year in Australia.	Relative_clause	syntax
Second one consists of Washington DC, Koyoto and Los Angeles  , where the number of passengers per year is quite smaller Uran in a first group.	Second one consists of Washington DC, Koyoto and Los Angeles where the number of passengers per year is quite smaller Uran in a first group.	Relative_clause	syntax
This french philosopher made up theory, according to wich people's characters are made by the society they were brought up in.	This french philosopher made up theory, according to wich people's characters are made by the society, They were brought up in.	Relative_clause	syntax
As it seems to me, both factors infnenu who we got to become, because everyone in diffenr, even if the persons, which we coupou happened to up, children who are pretty similar in their personalities may grow up completely different people, because of what they may encounter.	As it seems to me, both factors infnenu who we got to become, because everyone in diffenr, even if the persons, which we coupou happened to up, children, who are pretty similar in their personalities may grow up completely different people, because of what they may encounter.	Relative_clause	syntax
But the largest capaceldy has a Tokyo subway system  , which was opened in 1927 and works for 1927 million passengers a year.	But the largest capaceldy has a Tokyo subway system which was opened in 1927 and works for 1927 million passengers a year.	Relative_clause	syntax
At the same time the Washington DC subway system  , which was opened in 1976, with almost the same lenght of route as in Tokyo (126 kilometres compared to 155 kilometres) had more then 10 times less passengers a year (144 million compared to 1927 million)	At the same time the Washington DC subway system which was opened in 1976 with almost the same lenght of route as in Tokyo (126 kilometres compared to 155 kilometres) had more then 10 times less passengers a year (144 million compared to 1927 million)	Relative_clause	syntax
Some years ago I read the book which was recommended to me from my best friend who are interested in psychology.	Some years ago I read the book, which was recommended to me from my best friend who are interested in psychology.	Relative_clause	syntax
But other people think that our behaviour form only from that characteristic  which we have when we were born.	But other people think that our behaviour form only from that characteristic, which we have when we were born.	Relative_clause	syntax
To begin with, the little children who was born one week ago or one month ago have different behaviours, they don't have any experiences in this periods of their lifes.	To begin with, the little children, who was born one week ago or one month ago have different behaviours, they don't have any experiences in this periods of their lifes.	Relative_clause	syntax
To conclusion, I want to say that for are all characteristics is important for our development, but the main idea is development - you should to become as better as you want, and you have everything  that you want.	To conclusion, I want to say that for are all characteristics is important for our development, but the main idea is development - you should to become as better as you want, and you have everything what you want.	Relative_clause	syntax
This base gives him certain way of thoughts which determine him as a personality.	This base gives him certain way of thoughts, which determine him as a personality.	Relative_clause	syntax
Secondly, girls  who have not many friends-girs may feel shy and conversate and interact with the boys and controversary.	Secondly, girls which have not many friends-girs may feel shy and conversate and interact with the boys and controversary.	Relative_clause	syntax
There are 100 boys and only 1 girl  who want to enter some university on definite speciallity.	There are 100 boys and only 1 girl which want to enter some university on definite speciallity.	Relative_clause	syntax
On the other hand, a person  who don't has any significant characteristics, but every day he want to improve himselfes was a good future.	On the other hand, a person, who don't has any significant characteristics, but every day he want to improve himselfes was a good future.	Relative_clause	syntax
In comparison of thirst opinion, the second was more power, because a person who wont work with brains, who will have reasons for improving the life.	In comparison of thirst opinion, the second was more power, because a person, who wont work with brains, who will have reasons for improving the life.	Relative_clause	syntax
This bar chart represents different levels of after school qualifications in Australia in 1999  , which is indicated by y-axis and the sex proportion that is indicated by x-axis.	This bar chart represents different levels of after school qualifications in Australia in 1999 that is indicated by y-axis and the sex proportion that is indicated by x-axis.	Relative_clause	syntax
