sentence_good	sentence_bad	error_type	field
The next reason related to competition between male and female.	The next reason related with competition between male and female.	Verb_pattern	semantics
If we look at the forecast, in the period from 2030 t0 2040 there will be a significant rising.	If we look the forecast, in the period from 2030 t0 2040 there will be a significant rising.	Verb_pattern	semantics
In different point of view situation in sex balance between males and femals in universities will start tendency on granting really equal rights to everyone.	In different point of view situation in sex balance between males and femals in universities will start tendency on granting really equal rights for everyone.	Verb_pattern	semantics
We can't fight the nature, but we can change our own rules.	We can't fight with the nature, but we can change our own rules.	Verb_pattern	semantics
Although I am convinced that manicind cannot tolerate discrimination between genders, I suppose, that setting up the equal numbers of male and female in every subject is incorrect, because this approach would not take info account some important conditious and will lead to greater discrimination.	Although I am convinced that manicind cannot tolerate with discrimination between genders, I suppose, that setting up the equal numbers of male and female in every subject is incorrect, because this approach would not take info account some important conditious and will lead to greater discrimination.	Verb_pattern	semantics
Throughout the history there has always been some subjects that appealed mostly to males, while another disciplines were attractive mainly for females.	Throughout the history there has always been some subjects that appealed mostly males, while another disciplines were attractive mainly for females.	Verb_pattern	semantics
University should not tell us "You must study here because you are a male or female", they should give us chance to make a choice, choose a right direction and make a decision.	University should not tell "You must study here because you are a male or female", they should give us chance to make a choice, choose a right direction and make a decision.	Verb_pattern	semantics
All in all, it should be noted, that equal rights in society should be considered to be healthy way to live.	All in all, it should be noted, that equal rights in society should be considered as healthy way to live.	Verb_pattern	semantics
So, they usually become housewifes, and they like to take care of their families and consider it to be a profession.	So, they usually become housewifes, and they like to take care of their families and consider it as a profession.	Verb_pattern	semantics
Japan gives us the most surprising growing.	Japan gives to us the most surprising growing.	Verb_pattern	semantics
There is an opinion that universities should consist of equal parts of men and women, because society should give the same rights and possibilities to both sex.	There is an opinion that universities should consist of equal parts of men and women, because society should give the same rights and possibilities for both sex.	Verb_pattern	semantics
They can help each other to learn something significant and usufull, because nobody knows all in this life.	They can help to each other to know something significant and usufull, because nobody knows all in this life.	Verb_pattern	semantics
Sugested chart below gives us innformation about the proportion of the population aged 65 and ove between 1940 and 2040 in USA, Japan and Sweden.	Sugested chart below gives to us innformation about the proportion of the population aged 65 and ove between 1940 and 2040 in USA, Japan and Sweden.	Verb_pattern	semantics
Secondly, to my mind, level of education doestn depend on equal amount of boys and girls.	Secondly, to my mind, level of education doestn depend from equal amount of boys and girls.	Verb_pattern	semantics
There are no logical opinions, how it depends on it.	There are no logical opinions, how it depends from it.	Verb_pattern	semantics
Moreover, it should be pointed out that the ability to graduate from a university depends on human skills, but not a gender.	Moreover, it should be pointed out that the ability to graduate a university depends on human skills, but not a gender.	Verb_pattern	semantics
What is more, people in our country have common conditions for passing exams to enter any collage or university.	What is more, people in our country have common conditions for passing exams to enter to any collage or university.	Verb_pattern	semantics
It is sometimes argued whether children should begin learning foreign language in primary school or secondary school.	It is sometimes argued that children should begin learning foreign language in primary school or secondary school.	Verb_pattern	semantics
At secondary school, teaahers not need to focus on the character building anymore, they could push the student to study a more difficult subject than in primary school, because, at this age the student have already good brain capacity to study subject like English.	At secondary school, teaahers not need to focus on the character building anymore, they could push the student to study on a more difficult subject than in primary school, because, at this age the student have already good brain capacity to study subject like English.	Verb_pattern	semantics
They suppose that a child should learn his or her own language well before commencing to be taught other languages.	They suppose that a child should learn his or her own language well before commencing to be taught to other languages.	Verb_pattern	semantics
Besides that, the most noteworthy fact about 1998 is that in the dominant sector of education the biggest amount of employees were in a mature age and reach maximum in the baud of 45-56 years old, meanwhile as in all of her sectors the youngest or the next young group accounted for the biggest amount of people by age.	Besides that, the most noteworthy fact about 1998 is that in the dominant sector of education the biggest amount of employees were in a mature age and reach maximum in the baud of 45-56 years old, meanwhile as in all of her sectors the biggest amount of people accounted for the youngest or next young group by age.	Verb_pattern	semantics
Secondly, adults are often afraid to make mistakes when they are speaking a new language.	Secondly, adults are often afraid to make mistakes when they are speaking in a new language.	Verb_pattern	semantics
So this fact allows us to say that at primary school it is easier to focus on the learning of a foreign language.	So this fact allows to say that at primary school it is easier to focus on the learning of a foreign language.	Verb_pattern	semantics
They do it just because their parents or teachers told them to.	They do it just because their parents or teachers told them.	Verb_pattern	semantics
First of all, let us take a look on a situation in sector of hotel and catering we can see a tendency of downword interests of younger people 18-25 in this sphere.	First of all, let take a look on a situation in sector of hotel and catering we can see a tendency of downword interests of younger people 18-25 in this sphere.	Verb_pattern	semantics
That's why studying foreign languages is on the most needed subjects.	That's why studying of foreign languages is on the most needed subjects.	Verb_pattern	semantics
It is believed that it will be more effective to start learning foreign language in the childhood before going to the secondary school.	It is believed that it will be more effective to start learning of foreign language in the childhood before going to the secondary school.	Verb_pattern	semantics
From the other hand, foregein language can annoy people when they learned it from primary school	From the other hand, foregein language can annoy to people when they learned it from primary school	Verb_pattern	semantics
For example, many sport activities are requared to begin in the early ages: skating, hocking, athleting - in these sports it is impossible to become successful professional sportsmen if you begin to do it later.	For example, many sport activities are requared to begin in the early ages: skating, hocking, athleting - in these sports it is impossible to become successful professional sportsmen if you begin do it later.	Verb_pattern	semantics
In conclusion, it should be said that there is no disadvantages of the chance to begin studying / begin to study foreign language earlier than in secondary school, because process of learning for children in the primarily school is more easier than in the secondary school, and, what is more, pupils in the primarily school have less subjects to study and consequently lot of time to study language.	In conclusion, it should be said that there is no disadvantages of the chance to begin study foreign language earlier than in secondary school, because process of learning for children in the primarily school is more easier than in the secondary school, and, what is more, pupils in the primarily school have less subjects to study and consequently lot of time to study language.	Verb_pattern	semantics
They think that children need to learn his national language very good, and that knowleges giving for children primary school.	They think that children need to learning his national language very good, and that knowleges giving for children primary school.	Verb_pattern	semantics
