sentence_good	sentence_bad	error_type	field
Only when I was in 10th class did the situation change some girls feel uncomfortable and their behavior became worse that it was earlier.	Only when I was in 10th class the situation changes some girls feel uncomfortable and their behavior became worse that it was earlier.	Word_order	syntax
Moreover, there are more differences betwen the Sweden and USA line's behavior and the Japanese line's behavior than between the lines for Sweden and the USA.	Moreover, there are more differences betwen the Sweden and USA line's behavior and the Japanese line's behavior than between Sweden and USA lines.	Word_order	syntax
Thus, the percent of people 65 years old and over has rapidly increased during the century from 1940 to 2040.	Thus, the percent of people 65 and over years old has rapidly increased during the century from 1940 to 2040.	Word_order	syntax
The second, the graph clearly shows that the proportion of Japan was not very high, but gradually it begin to grow and we can see how the percentage sharply increases between 2020 and 2040, and in 2040 it is about 27%, that more that other countries.	The second, the graph clearly shows that the proportion of Japan was not very high, but gradually it begin to grow and we can see between 2020 and 2040 how the proportion sharply grows up, and in 2040 it is about 27%, that more that other countries.	Word_order	syntax
The line least similar to the others is presented by Japan.	The most unsimilar line to others is presented by Japan.	Word_order	syntax
Additionally, no one can decide what people should or should not do.	Additionally, no one can decide what should people do or not do.	Word_order	syntax
The first reason is that current attendency system is liberalised enough.	The first reason is that current attendency system is enough liberalised.	Word_order	syntax
The represented graphic shows information of changing proportions of polulation people aged 65 and over between 1940 and 2040 in Japan, Sweden and the USA.	The represented graphic shows information of changing proportions of polulation 65 aged people and over between 1940 and 2040 in Japan, Sweden and the USA.	Word_order	syntax
Percent of people aged 65 and over is steadly growing from 5-7 percent to 13-15 percent.	Percent of 65 aged and over people is steadly growing from 5-7 percent to 13-15 percent.	Word_order	syntax
There will be fair fight between male and female minds, but mankind know so many male names, and so little number of important female persons in science and politics.	There will be fair fight between male and female minds, but mankind know so many male names, and so little number of female important persons in science and politics.	Word_order	syntax
From 194- to 1960 the number rose steadily in both countries: in the USA and in Sweden, while Japan experienced a slight fall by 4 per cent in the number of old people.	From 194- to 1960 the number rose steadily in both countries: in the USA and in Sweden, while Japan experienced a slight fall in the number of old people by 4 per cent.	Word_order	syntax
For instance, according to the statistics in Saint-Perersburg, State unuversity on the Programme Engineering faculty, the number of male students in much more than the number of female students .	For instance, according to the statistics in Saint-Perersburg, State unuversity on the Programme Engineering faculty, the number of male students in much more than female student number.	Word_order	syntax
The graph shows difference between amount of citizens aged 65 and older in per cent from 1940 to 2040 in Japan, Sweden and USA.	The graph shows difference between amount of 65 ages citizens in per cent from 1940 to 2040 in Japan, Sweden and USA.	Word_order	syntax
Firstly, there is general tendency of the population to rise aged 65 and over.	Firstly, there is general tendency to rise of the population aged 65 and over.	Word_order	syntax
The graph illustrates how many people about 65 and over years old live in Japan, Sweden and USA in a certain period of time.	The graph illustrates how many people about 65 years old and over live in Japan, Sweden and USA in a certain period of time.	Word_order	syntax
For them it is normal, when there are more male or female students in subjects, because some educational programms attract the attention of more boys or more girls.	For them it is normal, when there are more male or female students in subjects, because some educational programms attract more boy's or girl's attention.	Word_order	syntax
For example, a programm to be a car driver or a pilot suits male students better, while nail art's course is better for female students.	For example, a programm to be a car driver or a pilot suits more for male students, while nail art's course is better for female students.	Word_order	syntax
We can note it even at school, when boys are usually better at physics, mathematics, chemistry.	We can note it even at school, when usually boys are better in physics, mathematics, chemistry.	Word_order	syntax
In conclusion I would like to mention, that, according to my oppinion, the idea of acception equal number of boys and girls in universities seems unreliable to me.	In conclusion I would like to mention, that, according to my oppinion, the idea of acception equal number of boys and girls in universities seems to me unreliable.	Word_order	syntax
It's clear from the graph that in every compacative country the quantity of people 65 years old and over would increase from 5% - 10% in 1940 to approximately 25% in 2040.	It's clear from the graph that in every compacative country the quantity of people 65 years old and over would increase from 5% - 10% in 1940 to 25% approximately in 2040.	Word_order	syntax
By contrast, Japan's group of people 65 years old and over had been decreasing from 1940 to around 1983, then it began to rise slightly and in 2030 there would be drammatic increase from 10% to 25%.	By contrast, Japan's group of people 65 years old and over had been decreasing from 1940 to 1983 approximately, then it began to rise slightly and in 2030 there would be drammatic increase from 10% to 25%.	Word_order	syntax
To sum everything up, it should be empasized that in spite of different results, japan population (after a perpertual grouth) increased more dramatically in contrast to other countries.	To sum everything up, it should be empasized that in spite of different results, japan population (after a perpertual grouth) increased dramatically more in contrast to other countries.	Word_order	syntax
Besides, it must be also pointed out that there is a tendency for both groups to choose particular subjects.	Besides, it also must be pointed out that there is a tendency for both groups to choose particular subjects.	Word_order	syntax
Nevertheless, some would say, that such situation will be substantial for people to protect of their rights for getting education, especially for women who can still face the problem of discrimination.	Nevertheless, some would say, that such situation will be substantial for people to protect of their rights for getting education, especially for women who still can face the problem of discrimination.	Word_order	syntax
According to the graph, the amount of people from the presented age group in Japan fell steadily in the period from 1940 to 1985.	According to the graph, the amount of people from the presented age group in Japan steadily fell in the period from 1940 to 1985.	Word_order	syntax
In other ways it is known that females can choose their profession freely.	In other ways it is known that females can choose freely their profession.	Word_order	syntax
Another factor which may be set against that rule is a different propostion of male and female population in the country.	Another factor which may be set against that rule is a different propostion of population of males and females in the country.	Word_order	syntax
Of course universities may try to bistribute males and females during educational process in different groups equaly and that will probably bring positive result.	Of course universities may try to bistribute males and females during educational process in different groups equaly and that probably will bring positive result.	Word_order	syntax
It will not be appropriate for university workers trying to choose students by the criteria of equality of males and females instead of professional qualities and knowledge, which every person may have.	It will not be appropriate for university workers trying to choose students by the criteria of equality of males and females instead of professional qualities and knowledge, which may have every person.	Word_order	syntax
The growth in the percentage of Japanese elderly people is the most tiny between three countries.	USA's progress of aged people percentage is the most tiny between three countries.	Word_order	syntax
But on the other hand there are a lot of subjects which suit for both girls and boys: jurisprudence, economics, politics and so on in the universities.	But on the other hand there are a lot of subjects which suit for girls and boys both: jurisprudence, economics, politics and so on in the universities.	Word_order	syntax
Notisable, in the USA population of people aged 65 and over was declining between 1940 and 1990. when it started to grow In the 2030 an enormous rise is predicted in population in America which will reach a pear of about 27% in 2040.	Notisable, in the USA population of people aged 65 and over was declining between 1940 and 1990. when it started to grow In the 2030 it's predicted to be an enormous rise in population in America which will reach a pear of about 27% in 2040.	Word_order	syntax
Nowadays a problem of disproportion of sexes in universities is topical, but is it really necessary to accept an equal numbers of males a females in each subject, or will it be more preferable not to pay attention to this situation?	Nowadays a problem of disproportion of sexes in universities is topical, but is it really necessary to accept an equal numbers of males a females in each subject, or it will be more preferable not to pay attention to this situation?	Word_order	syntax
But we are not talking about the importance of their privale relations.	But we are talking not about the importance of their privale relations.	Word_order	syntax
What does it lead to to?	What it leads to?	Word_order	syntax
I afirm, that the situation of disproportion of Females 2 males in universities should be changed, and, moreover, in every subject only male or only female students should be admitted.	I afirm, that the situation of disproportion of Females 2 males in universities should be changed, and, moreover, in every subject should appear only males or only females.	Word_order	syntax
The first feature which can be seen clearly is that the percentage of humans over 65 years is growing rapidly in all of these states.	The first feature which can be clearly seen is that the percentage of humans over 65 years is growing rapidly in all of these states.	Word_order	syntax
Analizing the information shown, it should also be mentioned that in the USA and Sweden there was a upword trend in percentage of people which are 65 years old and over from 1940 to 2040.	Analizing the information shown, it should be mentioned also that in the USA and Sweden there was a upword trend in percentage of people which are 65 years old and over from 1940 to 2040.	Word_order	syntax
Honestly to say, It does not seem to be a great problem to me, and so I cannot fully agree with the presented opinion.	Honestly to say, it doesn't mean for me to be a great problem, and so I cannot fully agree with the presented opinion.	Word_order	syntax
It should also be considered that the accepting people according to their gender will mean a discrimination under the conditions of our legislation, because in our Constitution every person have a right to a free education depending on their abilities.	It should be also considered that the accepting people according to their gender will mean a discrimination under the conditions of our legislation, because in our Constitution every person have a right to a free education depending on their abilities.	Word_order	syntax
After porpertual flactuation from 3-5% the level of old Japanese people is to rise dramatically up to 30%.	After porpertual flactuation from 3-5% the level of old Japanese people dramatically rise up to 30%.	Word_order	syntax
However, the amount of people 65 years old and over has risen in Japan since 1990.	However, the amount of 65 and over years old people has risen in Japan since 1990.	Word_order	syntax
According to the statistic presented by ITMO, a lot of people who had such situation on the faculty of economics lost their study places due to this experiment and as a resulted only few students who studied in these groups were satisfied with such situation.	According to the statistic presented by ITMO, who has such situation on the faculty of economics a lot of people lost their study places due to this experiment and as a resulted only few students who studied in these groups were satisfied with such situation.	Word_order	syntax
On the other hand, some people claim that children have a right to simply have their childhood.	On the other hand, some people claim that children have a right simply to have their childhood.	Word_order	syntax
Four sectors such as building, technology, education and hotel and catering are shown in the table.	It is shown by the table that there were four sectors such as building, technology, education and so on.	Word_order	syntax
It is clear from the table that in 1998 and in 2006 the biggest number of people who worked in the building sector were those at the age of 18-25 while the smallest number was observed in the age of 56-65.	It is clear from the table that in building sector the biggest number of people in 1998 and 2006 worked in the age of 18-25 while the smallest number was observed in the age of 56-65.	Word_order	syntax
Overall, it can be seen from the table that the most considerable number of people at the age of 46-55 worked in education sector in 1998 whie in 2006 the biggest number of people was occupied in technology sector in the age of 26-35.	Overall, it can be seen from the table that the most considerable number of people in 1998 worked in education sector in the age of 46-55 whie in 2006 the biggest number of people was occupied in technology sector in the age of 26-35.	Word_order	syntax
Overall, it can be seen from the table that the most considerable number of people in 1998 worked in education sector in the age of 46-55 whie in 2006 the biggest number of people was 26-35 year-old people occupied in technology sector .	Overall, it can be seen from the table that the most considerable number of people in 1998 worked in education sector in the age of 46-55 whie in 2006 the biggest number of people was occupied in technology sector in the age of 26-35.	Word_order	syntax
On the other hand, children do not understand what they have to learn a foreign language for.	On the other hand, children do not understand what for they have to learn foreign language.	Word_order	syntax
Every parent at the current moment has realizing that the competition for a future job is increasing significantly, this reason brings the parent to think as best as possible to prepare their children with the best skill to compete for a successful job in future.	Every parent at the current moment has realizing that the competition for a future job is increasing significantly, this reason brings the parent to think as best as possible to prepare their children with the best skill to compete in future for successful job.	Word_order	syntax
