sentence_good	sentence_bad	error_type	field
Finally, some young mothers find it boring to spend all the time with babies, nurishing and entertaining them.	Finally, some young mothers find it boring to spend all the with babies, nurishing and entertaining them.	Absence_comp_sent	discourse
What is interesting is that, the number of girls dropped by nearly 4,5 times, whereas the number of boys declined only by 50 per cent.	What is interesting, the number of girls dropped by nearly 4,5 times, whereas the number of boys declined only by 50 per cent.	Absence_comp_sent	discourse
Another trend is that in 2000 the number of boys deprived of education was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Another trend is that in 2000 the number of boys was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Absence_comp_sent	discourse
Another trend is that in 2000 the number of boys was bigger than the number of such girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Another trend is that in 2000 the number of boys was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	Absence_comp_sent	discourse
First of all, travelling by plane is fastest way to travel to other countries.	First of all, planes is fastest way to travel to other countries.	Absence_comp_sent	discourse
For example, males in the age of 16-24 do exercises in the course of the day nearly 300 minutes, while women of the same age hardly could spent more than 100 minutes.	For example, males in the age of 16-24 do exercises in the course of nearly 300 minutes, while women of the same age hardly could spent more than 100 minutes.	Absence_comp_sent	discourse
Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than older do.	Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than the older ones.	Absence_comp_sent	discourse
While some people says the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	While some says the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	Absence_comp_sent	discourse
Anyway, the time that the youngest women spent on physical activities was 10 time more than the same time spent by the elderly women.	Anyway, the time that the youngest women spent on physical activities was 10 time more than the same time of the elderly women.	Absence_comp_sent	discourse
The amount of time men spend for sports fall by half in compession with 16-24 years old men.	The time men spend for sports fall by half in compession with 16-24 years old men.	Absence_comp_sent	discourse
Interestingly, from 55 to 64 years old women did sports more often than men (55,4 and 52,7 minutes) Comcerning women, thier sports activity was not as fluctuated as men's and they also hit their pick at the age of 16-24 (114,1 minutes) and reached their lowest point at 75 and over (10 minutes).	Interestingly, from 55 to 64 women did sports more often than men (55,4 and 52,7 minutes) Comcerning women, thier sports activity was not as fluctuated as men's and they also hit their pick at the age of 16-24 (114,1 minutes) and reached their lowest point at 75 and over (10 minutes).	Absence_comp_sent	discourse
Interestingly, from 55 to 64 women did sports more often than men (55,4 and 52,7 minutes) Comcerning women, thier sports activity was not as fluctuated as men's and they also hit their pick at the age of 16-24 (114,1 minutes) and reached their lowest point at 75 years old and over (10 minutes).	Interestingly, from 55 to 64 women did sports more often than men (55,4 and 52,7 minutes) Comcerning women, thier sports activity was not as fluctuated as men's and they also hit their pick at the age of 16-24 (114,1 minutes) and reached their lowest point at 75 and over (10 minutes).	Absence_comp_sent	discourse
I would like to talk about various points of view on this topic.	I would like to talk about points of view on this topic.	Absence_comp_sent	discourse
To my mind small local bussines safe local culture heritage, for example, if a small restaurant in Italy that cooke good italian pizza will be replaced by big multinational company like Burger King or KFC, people can lose they culture kithcen.	To my mind small local bussines safe local culture heritage, for example, small restaurant in Italy that cooke good italian pizza will be replaced by big multinational company like Burger King or KFC, people can lose they culture kithcen.	Absence_comp_sent	discourse
To sum up, large transnational brands has some benefits, but my opinion is that small businesses better for economy.	To sum up, large transnational brands has some benefits, but my opinion that small businesses better for economy.	Absence_comp_sent	discourse
To sum up, large transnational brands has some benefits, but my opinion that small businesses are better for economy.	To sum up, large transnational brands has some benefits, but my opinion that small businesses better for economy.	Absence_comp_sent	discourse
The bar-chart illustrates the time man and women spent doing sport in England over a 2012.	The bar-chart illustrates the time man and women doing sport in England over a 2012.	Absence_comp_sent	discourse
For example, IKEA pays much more taxes and social insurance payments than any small furniture store , which is much better for government and the society, Also it is not a secret that in some countries it is posiible for small business to avoid paying taxes or social insurance for workers if you employ them illegally and it obviously seems to be a big problem for the local government.	For example, IKEA pays much more taxes and social insurance payments than any small furniture store which much better for government and the society, Also it is not a secret that in some countries it is posiible for small business to avoid paying taxes or social insurance for workers if you employ them illegally and it obviously seems to be a big problem for the local government.	Absence_comp_sent	discourse
There is an ever-increasing number of multinational brands and companies nowadays.	There is an ever-increasing of multinational brands and companies nowadays.	Absence_comp_sent	discourse
The worst quantity of time spent on sport shows old people over 75 years.	The worst quantity of time to sport shows old people over 75 years.	Absence_comp_sent	discourse
This graph illustrates the average time spent on doing physical activities in United Kingdom in 2012.	This graph illustrates the average time on doing physical activities in United Kingdom in 2012.	Absence_comp_sent	discourse
According to the graph, the majority of people who were keen on sports are males in all age groups while females still remain on the second place.	According to the graph, the majority of people who keen on sports are males in all age groups while females still remain on the second place.	Absence_comp_sent	discourse
Furthermore, most of the top-tier corporations, brands and companies are based on creating local community branches and franchising.	Furthermore, most of the top-tier corporations, brands and companies based on creating local community branches and franchising.	Absence_comp_sent	discourse
In other words, there average time spent doing sport is very high, when they are yonger at the age of 16-24.	In other words, there average time of doing sport is very high, when they are yonger at the age of 16-24.	Absence_comp_sent	discourse
