sentence_good	sentence_bad	error_type	field
By contrast, profits of HTC and Blackberry fell during these years and Samsung income were the same level in 2015 as in 2010.	By contrast, profits of HTC and Blackberry fell during this years and Samsung income were the same level in 2015 as in 2010.	Agreement_errors	morphology
By contrast, profits of HTC and Blackberry fell during this years and Samsung income was the same level in 2015 as in 2010.	By contrast, profits of HTC and Blackberry fell during this years and Samsung income were the same level in 2015 as in 2010.	Agreement_errors	morphology
In 2010, profit of Apple was approximately 40% share.	In 2010, profit of Apple were approximately 40% share.	Agreement_errors	morphology
Whereas income of HTC was about 10% and incomes of Samsung and Blackberry were 15% and 20% respectively.	Whereas income of HTC were about 10% and incomes of Samsung and Blackberry were 15% and 20% respectively.	Agreement_errors	morphology
The overall trend of Apple profits is obviously upward, while Blackberry and HTC show the downward trend.	The overall trend of Apple profits is obviously upward, while Blackberry and HTC shows the downward trend.	Agreement_errors	morphology
Anyway, this decision does not always benefit the children`s fostering and can raise some essential issues.	Anyway, this decision do not always benefit the children`s fostering and can raise some essential issues.	Agreement_errors	morphology
The given charts present information on the number of boys and girls from different regions without access to primary school in 2000 and 2012.	The given charts presents information on the number of boys and girls from different regions without access to primary school in 2000 and 2012.	Agreement_errors	morphology
First of all, according to the statistic much more poisonous gases and exhaust fumes are produced by cars, due to this fact it will be more useful to introduce more laws for reducing amount of cars which is constantly rising nowadays.	First of all, according to the statistic much more poisonous gas and exhaust fumes are produced by cars, due to this fact it will be more useful to introduce more laws for reducing amount of cars which is constantly rising nowadays.	Agreement_errors	morphology
However, these kinds of transport produce more waste in the atmosphere.	However, this kinds of transport produce more waste in the atmosphere.	Agreement_errors	morphology
As a result, these laws for reducing air travel will not be effective and useful for the environment and will lead to crisis.	As a result, this laws for reducing air travel will not be effective and useful for the environment and will lead to crisis.	Agreement_errors	morphology
In addition, this type of travel causes serious and dangerous long-term outcomes, especially global warming, hence contemporary governments have to take measures to prevent future disasters and destruction of the nature.	In addition, this type of travel cause serious and dangerous long-term outcomes, especially global warming, hence contemporary governments have to take measures to prevent future disasters and destruction of the nature.	Agreement_errors	morphology
On the other hand, introducing new laws to reduce the usage of air transport significantly seems to be too strict and not adequate to the situation, because it is still the fastest and the most comfortable way of moving from one place to another.	On the other hand, introducing new laws to reduce the usage of air transport significantly seem to be too strict and not adequate to the situation, because it is still the fastest and the most comfortable way of moving from one place to another.	Agreement_errors	morphology
While some say the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	While some says the social media should provide various types of information and improve knowledge of people in different spheres, the opinion that websites such as Facebook or Vkontakte were created only for entertainment also exists.	Agreement_errors	morphology
The graph gives information on how much time was spent on doing sports in England between men and women in 2012.	The graph gives information on how much time are spent on doing sports in England between men and women in 2012.	Agreement_errors	morphology
On the other hand, multinational companies may not be interested in improving their product's quality, just raising the quantity of their output as their brand names are already talking for the brand.	On the other hand, multinational companies may not be interested in improving their product's quality, just raising the quantity of their output as their brand names is already talking for the brand.	Agreement_errors	morphology
But it is agreed that these shops are made with using marketing science to make customer buy more, than he wanted entering the supermarket.	But it is agreed that this shops are made with using marketing science to make customer buy more, than he wanted entering the supermarket.	Agreement_errors	morphology
First of all, i think the advantages of this tendency outweigh the disadvantages because it gives us more opportunities to choose since multinational brands have wider access to primary and secondary resources.	First of all, i think the advantages of this tendency outweights the disadvantages because it gives us more opportunities to choose since multinational brands have wider access to primary and secondary resources.	Agreement_errors	morphology
For exapmple, Inditex which owns Zara and some other brands has the factories and offices all over the world because different countries specilise on different fabrics and in some other places the cost of labor allows to produce more and better quality.	For exapmple, Inditex which own Zara and some other brands has the factories and offices all over the world because different countries specilise on different fabrics and in some other places the cost of labor allows to produce more and better quality.	Agreement_errors	morphology
However, with the era of multinational brands we found out that there are countries which are called "The third world" which might develope their own production at their pace without foreighn corporations which are interested in making more money out of their business.	However, with the era of multinational brands we found out that there are countries which is called "The third world" which might develope their own production at their pace without foreighn corporations which are interested in making more money out of their business.	Agreement_errors	morphology
This fact has both advantages and disadvantages.	This fact have both advantages and disadvantages.	Agreement_errors	morphology
The chart illustrates how many time (in minutes) spends English men and women in 2012.	The chart illustrate how many time (in minutes) spends English men and women in 2012.	Agreement_errors	morphology
To my mind, small local bisinesses are really important for economy of each country.	To my mind, small local bisinesses is really important for economy of each country.	Agreement_errors	morphology
To my mind small local bussines safe local culture heritage, for example, small restaurant in Italy that cooks good italian pizza will be replaced by big multinational company like Burger King or KFC, people can lose they culture kithcen.	To my mind small local bussines safe local culture heritage, for example, small restaurant in Italy that cooke good italian pizza will be replaced by big multinational company like Burger King or KFC, people can lose they culture kithcen.	Agreement_errors	morphology
If BMW company starts produse their cars in some poor region like Malaysia, they help a lot of people who can not find a work in their country.	If BMW company start produse their cars in some poor region like Malaysia, they help a lot of people who can not find a work in their country.	Agreement_errors	morphology
To sum up, large transnational brands have some benefits, but my opinion that small businesses better for economy.	To sum up, large transnational brands has some benefits, but my opinion that small businesses better for economy.	Agreement_errors	morphology
As we know in some countries company with big profits have bigger taxes rate than the small one.	As we know in some countries company with big profits has bigger taxes rate than the small one.	Agreement_errors	morphology
The principal disadvantages of that are the decreasing number of variety in products and services and the higher level of unemployment in small towns.	The principal disadvantages of that is the decreasing number of variety in products and services and the higher level of unemployment in small towns.	Agreement_errors	morphology
This essay will show that it is not a welcome development of replacing local firms by large brands and will explain why the drawbacks of this development outweigh the benefits.	This essay will show that it is not a welcome development of replacing local firms by large brands and will explain why the drawbacks of this development outweighs the benefits.	Agreement_errors	morphology
First of all, the advantage of having multinational top-company in country is the local employment which the firm often provides.	First of all, the advantage of having multinational top-company in country is the local employment which the firm often provide.	Agreement_errors	morphology
This company always needs a huge amount of human resources.	This company always need a huge amount of human resources.	Agreement_errors	morphology
In my mind existing small local businesses help any of us to run own start-up.	In my mind existing small local businesses helps any of us to run own start-up.	Agreement_errors	morphology
Nowadays in universities students have a possibility to become a businessmen anytime he or she wish and wants to.	Nowadays in universities students have a possibility to become a businessmen anytime he or she wishes and wants to.	Agreement_errors	morphology
Nowadays in universities students have a possibility to become a businessmen anytime he or she wishes and want to.	Nowadays in universities students have a possibility to become a businessmen anytime he or she wishes and wants to.	Agreement_errors	morphology
Often the high production of commodities requires high output of waste, and hence, big companies are a source of pollution which is very harmfull in small countries who have biodiversity and abundance of nature.	Often the high production of commodities requires high output of waste, and hence, big companies are a source of pollution which is very harmfull in small countries who has biodiversity and abundance of nature.	Agreement_errors	morphology
we can say that multinational companies replacing small businesses have its own pros and cons.	we can say that multinational companies replacing small businesses has its own pros and cons.	Agreement_errors	morphology
Many factors must be taken into account to conclude a final insight, whether replacing of small businesses by multinational companies is, infact a wise decision for the economy or not.	Many factors must be taken into account to conclude a final insight, whether multinational companies replacing small businesses is, infact a wise decision for the economy or not.	Agreement_errors	morphology
Another reason to be against monopolies is that businessman, who want to start their business with a better product could not do this, cause big companise have the lower price, so they will not have any profit.	Another reason to be against monopolies is that businessman, who want to start their business with a better product could not do these, cause big companise have the lower price, so they will not have any profit.	Agreement_errors	morphology
The pivotal ones are the loss of cultural unique.	The pivotal ones is the loss of cultural unique.	Agreement_errors	morphology
For example, the Coca-cola, a multinational giant company hires many local workers in indonesia, as a result tha rate of unemployment decreased from 15% to 8% in 2019.	For example, the Coca-cola, a multinational giant company hire many local workers in indonesia, as a result tha rate of unemployment decreased from 15% to 8% in 2019.	Agreement_errors	morphology
These corporationa are critisezed by the government.	This corporationa are critisezed by the government.	Agreement_errors	morphology
It will explained why the drawbacks of the development outweigh the benefits.	It will explained why the drawbacks of the development outweighs the benefits.	Agreement_errors	morphology
When a company or a plant is being built, they need not only material resource but man resource as well.	When a company or a plant are being built, they need not only material resource but man resource as well.	Agreement_errors	morphology
When a company or a plant are being built, it need not only material resource but man resource as well.	When a company or a plant are being built, they need not only material resource but man resource as well.	Agreement_errors	morphology
When a company or a plant are being built, they needs not only material resource but man resource as well.	When a company or a plant are being built, they need not only material resource but man resource as well.	Agreement_errors	morphology
For example, Starbucks Company, a multinational coffee shop company, is hiring many local citizens in Semarang, Indonesia, and this results the decreasing rate of unemployment in that area from 11% to 8%.	For example, Starbucks Company, a multinational coffee shop company, are hiring many local citizens in Semarang, Indonesia, and this results the decreasing rate of unemployment in that area from 11% to 8%.	Agreement_errors	morphology
To sum up, there are marked differences in time spent doing sports between man and women.	To sum up, there is marked differences in time spent doing sports between man and women.	Agreement_errors	morphology
On the other hand, it is common knowledge that when large multinational brands replace local companies, there are some benefits too, for instance, ordinary customer will choose famous brand because he /she sees that a lot of people use it.	On the other hand, it is common knowledge that when large multinational brands replace local companies, there are some benefits too, for instance, ordinary customer will choose famous brand because he /she see that a lot of people use it.	Agreement_errors	morphology
