sentence_good	sentence_bad	error_type	field
Over the period from 2010 to 2015, the figure for Apple had upward trend, when Blackberry and HTC had downward trend and Samsung rised to its highest point and then decreased to the start level.	Over the period from 2010 to 2015, Apple`s figure had upward trend, when Blackberry and HTC had downward trend and Samsung rised to its highest point and then decreased to the start level.	lex_item_choice	semantics
Samsung`s and Blackberry`s figures were about 20% which was a half lower than Apple`s, and the lowest percentage had HTC that was nearly 10%.	Samsung`s and Blackberry`s figures were about 20% which was a half lower than Apple`s, and the lowest percentage had HTC that was around 10%.	lex_item_choice	semantics
The line graph illustrates changes in the profit share of global smartphone incomes between 2010 and 2015.	The line graph illustrates changes in the proposition share of global smartphone incomes between 2010 and 2015.	lex_item_choice	semantics
The line graph illustrates changes in the proposition share of global smartphone companies between 2010 and 2015.	The line graph illustrates changes in the proposition share of global smartphone incomes between 2010 and 2015.	lex_item_choice	semantics
Moreover the rate of Samsung trends to be downward too regardless some eratic movements.	Moreover Samsung`s rate trends to be downward too regardless some eratic movements.	lex_item_choice	semantics
Moreover Samsung`s rate trends to be downward too regardless some eratic fluctuations.	Moreover Samsung`s rate trends to be downward too regardless some eratic movements.	lex_item_choice	semantics
They decide to place kids into a kindergarden or ask grandparents for help.	They decide to put kids into a kindergarden or ask grandparents for help.	lex_item_choice	semantics
Anyway, this decision do not always benefit the children`s well-being and can raise some essential issues.	Anyway, this decision do not always benefit the children`s fostering and can raise some essential issues.	lex_item_choice	semantics
These can influence their mental health and even cause some deviations, such as computer addiction.	These can influence their mental health and even cause some diseases, such as computer addiction.	lex_item_choice	semantics
But they always should remember, that their kids do not appreciate them for money and most of times the problems, caused by attention lack, cannot be solved by any finances.	But they always should remember, that their kids do not appreciate them for dollars and most of times the problems, caused by attention lack, cannot be solved by any finances.	lex_item_choice	semantics
Generally speaking, the total numbers of such children decreased in every region.	Generally speaking, the total amount of such children decreased in every region.	lex_item_choice	semantics
My opinion is that by air travelling people can live everywhere they want and stay in in contact with other world.	My opinion is that by air travelling people can live everywhere they want and stay in connect with other world.	lex_item_choice	semantics
This is one of the reasons why global warming is so big.	This is one of the ideas why global warming is so big.	lex_item_choice	semantics
Another important feature is that in most cases (exept for South Asia and Rest of World in 2012) more girls than boys could not get into primary school.	Another important feature is that in most cases (exept for South Asia and Rest of World in 2012) more girls than boys could not enter primary school.	lex_item_choice	semantics
Moreover, reducing the number of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and using of trains and ferries is also will increase.	Moreover, reducing the amount of air flights will cause some kind of economic crises for air flight companies and influence the number of people who will start use their private transport such as cars, and using of trains and ferries is also will increase.	lex_item_choice	semantics
We are given a bar chart which provides us with information about the changes in the number of children who have not an opportunity to be educated in primary school in different regions such as Africa, South Asia and the rest of the world.	We are given a bar chart which provides us with information about the changes in the amount of children who have not an opportunity to be educated in primary school in different regions such as Africa, South Asia and the rest of the world.	lex_item_choice	semantics
First of all, the main feature is that the number of boys and girls without primary school educations decreased in all regions between 2000 and 2012.	First of all, the main feature is that the amount of boys and girls without primary school educations decreased in all regions between 2000 and 2012.	lex_item_choice	semantics
The biggest decrease was registrated in South Asia from 32,7 millions children to 9,9 millions.	The best decrease was registrated in South Asia from 32,7 millions children to 9,9 millions.	lex_item_choice	semantics
Another trend is that in 2000 the number of boys was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this distribution was different.	Another trend is that in 2000 the number of boys was bigger than the number of girls whereas in 2012 in all parts of the world except for Africa this trend was different.	lex_item_choice	semantics
Nowadays people try to solve more and more serious problems.	Nowadays the humanity try to solve more and more serious problems.	lex_item_choice	semantics
However, some people are certain that air flights have disasterous effect on environment condition.	However, some people are certain that air travels have disasterous effect on environment condition.	lex_item_choice	semantics
The chart provides the information about the change in the number of children, who donвЂ™t have an access to primary school education in twelve years period by sex and region.	The chart provides the information about the change in the amount of children, who donвЂ™t have an access to primary school education in twelve years period by sex and region.	lex_item_choice	semantics
National governments nowadays are seriously concerned about air travelling due to high levels of air pollution and effect called global warming, thatswhy they have to decide whether they should introduce laws to decrease the number of flights or find another solvation.	National governments nowadays are seriously concerned about air travelling due to high levels of air pollution and effect called global warming, thatswhy they have to decide whether they should invent laws to decrease the number of flights or find another solvation.	lex_item_choice	semantics
In addition, this type of travel cause serious and dangerous long-term effects , especially global warming, hence contemporary governments have to take measures to prevent future disasters and destruction of the nature.	In addition, this type of travel cause serious and dangerous long-term outcomes, especially global warming, hence contemporary governments have to take measures to prevent future disasters and destruction of the nature.	lex_item_choice	semantics
Consequently, we have to focus not only on trying to decrease number of flights, using laws, but also on saving nature in general, taking measures against every source of pollution.	Consequently, we have to focus not only on trying to decrease number of flights, using laws, but also on saving nature in general, taking actions against every source of pollution.	lex_item_choice	semantics
In conclusion, I would like to say that the best solution is to improve effectiveness of engines and to reduce the amount of gas thrown into the atmosphere fall down, until we find a new way of transportation, which would be faster, more comfortable and less damaging to our planet.	In conclusion, I would like to say that the best solution is to improve effectiveness of engines and to make the amount of gas thrown into the atmosphere fall down, until we find a new way of transportation, which would be faster, more comfortable and less damaging to our planet.	lex_item_choice	semantics
To add, I think that suitable option is to find a way to improve present transport, but not to get rid of it.	To add, I think that appropriate option is to find a way to improve present transport, but not to get rid of it.	lex_item_choice	semantics
As it can be observed, women in the age of 55-64 tend to be a little more active than representatives of another gender.	As it can be observed, women in the age of 55-64 tend to be a bit more active than representatives of another gender.	lex_item_choice	semantics
entertainment and sharing of knowledge are both very important functions of social media, the latter seems to be more important for modern people.	entertainment and sharing of knowledge are both very important functions of social media, the last one seems to be more important for modern people.	lex_item_choice	semantics
Overall, it can be seen that the younger people were the more time they spent on sports and exercises.	Overall, it can be seen that the younger people were the more time they did sports and exercises.	lex_item_choice	semantics
For example, in India, some fields of the economy such as fast food and automobiles manufacturing are highly monopolized by multinational companies, and the range and quality of products are among lowest in the world.	For example, in India, some fields of the economy such as fast food and automobiles manufacturing are highly monopolized by multinational companies, and the range and quality of products are ones of lowest in the world.	lex_item_choice	semantics
Almost all over the world, in many countries, big brands are replacing small business organisations.	Almost all over the world, in many countries, big brands are replacing little business organisations.	lex_item_choice	semantics
This will have a negative impact on the economy of the country and the rigion in particular.	This will have a bad impact on the economy of the country and the rigion in particular.	lex_item_choice	semantics
However, large companies stay afloat, although they receive losses.	However, the big companies stay afloat, although they receive losses.	lex_item_choice	semantics
However, the big companies stay afloat, although they bear losses.	However, the big companies stay afloat, although they receive losses.	lex_item_choice	semantics
