sentence_good	sentence_bad	error_type	field
To sum up, this bar chart shows positive statistics since the numbers of primary school students rised dramatically.	To sum up, this bar chart shows positive statistics since the number of primary school students rised dramatically.	Noun_number	morphology
In my opinion, plane is one of the greatest inventions in the history and we should take the best out of it.	In my opinion, planes is one of the greatest inventions in the history and we should take the best out of it.	Noun_number	morphology
Nowadays, people just cannot afford themselves spending days and weeks on travelling by car or ships.	Nowadays, people just cannot afford themselves spending days and weeks on travelling by cars or ships.	Noun_number	morphology
Nowadays, people just cannot afford themselves spending days and weeks on travelling by cars or ship.	Nowadays, people just cannot afford themselves spending days and weeks on travelling by cars or ships.	Noun_number	morphology
Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercise than the older ones.	Overall, it can be observed that men in England are more active in doing sports than women, and the younger people spend more time on exercises than the older ones.	Noun_number	morphology
There are different points of views on what the main functions of social networks are.	There are different point of views on what the main functions of social networks are.	Noun_number	morphology
There are different point of view on what the main functions of social networks are.	There are different point of views on what the main functions of social networks are.	Noun_number	morphology
The bar illustrates how much time British males and females spend on sports activities.	The bar illustrates how much time British males and females spend on sport activities.	Noun_number	morphology
That is why it is a common thing for today that huge companies and brands replace small businesses.	That is why it is a common thing for today that huge companies and brand replace small businesses.	Noun_number	morphology
Anyway, the time that the youngest women spent on physical activities was 10 times more than the same time of the elderly women.	Anyway, the time that the youngest women spent on physical activities was 10 time more than the same time of the elderly women.	Noun_number	morphology
For example, company "Adidas" is much richer than some little-known shoe manifacturers.	For example, the companies "Adidas" is much richer than some little-known shoe manifacturers.	Noun_number	morphology
As can be seen from the chart men at the age of 16-24 prefer different sports activities and they spend near 300 minutes, while women spend only 114,1 minutes.	As can be seen from the chart men at the age of 16-24 prefer different sport activities and they spend near 300 minutes, while women spend only 114,1 minutes.	Noun_number	morphology
However, women spend the similar time at the ages of 35-44 and 25-34.	However, women spend the similar time at the age of 35-44 and 25-34.	Noun_number	morphology
Moreover, we can see that adults and eldery people prefer sports activities far less then young men and women.	Moreover, we can see that adults and eldery people prefer sport activities far less then young men and women.	Noun_number	morphology
The essay will demonstrate that the replacing local unknown businesses has a positive impact not only on the satisfying castomers' needs, but also on environment and the development of sales areas at all.	The essay will demonstrate that the replacing local unknown businesses has a positive impact not only on the satisfying castomers' needs, but also on environment and the development of sales area at all.	Noun_number	morphology
On the one hand, multinational companies place big shops, where customers can find everything he wants at the same place, saving his own time - it is benefit.	On the one hand, multinational companies place big shops, where customer can find everything he wants at the same place, saving his own time - it is benefit.	Noun_number	morphology
But it is agreed that this shops are made with using marketing science to make customers buy more, than he wanted entering the supermarket.	But it is agreed that this shops are made with using marketing science to make customer buy more, than he wanted entering the supermarket.	Noun_number	morphology
On the other hand it known that often customers can find unhealthy or spoiled food in supermarket because of the enormous number of different products, it is very difficult to control it.	On the other hand it known that often customer can find unhealthy or spoiled food in supermarket because of the enormous number of different products, it is very difficult to control it.	Noun_number	morphology
On the other hand it known that often customer can find unhealthy or spoiled food in supermarkets because of the enormous number of different products, it is very difficult to control it.	On the other hand it known that often customer can find unhealthy or spoiled food in supermarket because of the enormous number of different products, it is very difficult to control it.	Noun_number	morphology
This is a key to have happy citizens.	This is a key to have a happy citizen.	Noun_number	morphology
Futhermore, the amount of time which men spent on their sport activity is reletively high (29,2) that is almost in three times more than women.	Futhermore, the amount of time which man spent on their sport activity is reletively high (29,2) that is almost in three times more than women.	Noun_number	morphology
I suppose in the near future there will be a kind of partnership between local businesses and multinational corporations.	I suppose in the near future there will be a kind of partnership between local business and multinational corporations.	Noun_number	morphology
International companies can help governments to open schools or hospitals, regulary spend money on charity, or even start to run their own ones.	International companies can help government to open schools or hospitals, regulary spend money on charity, or even start to run their own ones.	Noun_number	morphology
