sentence_good	sentence_bad	error_type	field
The graph shows the timewhich english men and women spent doing sports and exercise in England in 2012.	The graph shows the time, which english men and women spent doing sports and exercise in England in 2012.	Relative_clause	syntax
However, with the era of multinational brands we found out that there are countries which is called "The third world" , which might develope their own production at their pace without foreighn corporations which are interested in making more money out of their business.	However, with the era of multinational brands we found out that there are countries which is called "The third world" which might develope their own production at their pace without foreighn corporations which are interested in making more money out of their business.	Relative_clause	syntax
Third, huge companies always need more workers than small ones , which will positively affect the economy of different countires.	Third, huge companies always need more workers than small ones which will positively affect the economy of different countires.	Relative_clause	syntax
Turning to the second diasdvantage we can say that it's really hard to find in Russian city any stores except ones , which belong to x5 retail group and it seems that they have monopoly in this market so they can provide poor quality and even though they will be popular because of lackof alternatives.	Turning to the second diasdvantage we can say that it's really hard to find in Russian city any stores except ones which belong to x5 retail group and it seems that they have monopoly in this market so they can provide poor quality and even though they will be popular because of lackof alternatives.	Relative_clause	syntax
While in Russia there is a huge nomber of womenwho create their brand-new cosmetics, however they never reach such level of success as Kylie Jenner, because nobody knows about them and, as the result, does not trust the quality of beauty products.	While in Russia there is a huge nomber of women, who create their brand-new cosmetics, however they never reach such level of success as Kylie Jenner, because nobody knows about them and, as the result, does not trust the quality of beauty products.	Relative_clause	syntax
If we did not have small businesses, we would not have a knowledge about how does it works from inside.	If we would not have small businesses, we would not have a knowledge about how does it works from inside.	Relative_clause	syntax
The bar chart illustrates the amount of time which english women and men in spent for sport activities in 2012.	The bar chart illustrates the amount of time, which english women and men in spent for sport activities in 2012.	Relative_clause	syntax
In contrast, there was only a slight decrease of timewhich was spent on sport by young women to old ones.	In contrast, there was only a slight decrease of time, which was spent on sport by young women to old ones.	Relative_clause	syntax
As for people from 16 to 24, men spend 282,1 minutes for sport activities and women spent only 114,1 minutes, which is 3 time less than men.	As for people from 16 to 24, men spend 282,1 minutes for sport activities and women spend only 114, 1 minutes which is 3 time less than men.	Relative_clause	syntax
Overall, the graph indicates that in average menwho are 35-54 years old, have results in common, for instance, 120,6 minutes at 35-44 and 114,2 at 45-54.	Overall, the graph indicates that in average men, that are 35-54 years old, have results in common, for instance, 120,6 minutes at 35-44 and 114,2 at 45-54.	Relative_clause	syntax
