sentence_good	sentence_bad	error_type	field
Anyway, local businesses can produce even more interesting and qualified goods if governments help them and fight the monopoly of corporations.	Anyway, local businesses can produce even more interesting and qualified goods if governments help them and fight with the monopoly of corporations.	Verb_pattern	semantics
Nowadays business sphere is developing at a rapid pace, so that small unpopular brands can not stand the fight with the big and well-known ones.	Nowadays business sphere is developing in a rapid pace, so that small unpopular brands can not stand the fight with the big and well-known ones.	Verb_pattern	semantics
First, accommodation of resourses and financial opportunities that is available only for large and popular brands allows us to cut costs with the synergy effect and spend huge sums of money, for example, for providing the production of its product with more environmentally friendly resourses or to install expensive filters to make the manifacture more eco-friendly.	First, accommodation of resourses and financial opportunities that is available only for large and popular brands allows to cut costs with the synergy effect and spend huge sums of money, for example, for providing the production of its product with more environmentally friendly resourses or to install expensive filters to make the manifacture more eco-friendly.	Verb_pattern	semantics
Furthermore, multinational brands invest in developing production in the territory of differnt countries to minimize the costs and optimize the logistic system so it gives a chance even to local farmers to take part in the process of production.	Furthermore, multinational brands invest in developing production in the territory of differnt countries to minimize the costs and optimize the logistic system so it gives a chance even local farmers to take part in the process of production.	Verb_pattern	semantics
Moreover, such replacing local businesses with the well-known brands can "clean" the market of the bad low-quality companies.	Moreover, such replacing local businesses with the well-known brands can "clean" the market from the bad low-quality companies.	Verb_pattern	semantics
The same pattern when males spent on doing sport more than females can be seen in other ages, but from 55 to 64 years of old women were predominated over men with 55,4 and 52,7 minutes respectively.	The same pattern when males spent on doing sport more than females can be seen in other ages, but from 55 to 64 years of old women were predominated men with 55,4 and 52,7 minutes respectively.	Verb_pattern	semantics
The bar chart illustrates the amount of time, which english women and men in spent on sport activities in 2012.	The bar chart illustrates the amount of time, which english women and men in spent for sport activities in 2012.	Verb_pattern	semantics
It can be seen,that yougest group of both men and wonen spent the most time on phythical activities, over the 282 min for man and near 114 for woman.	It can be seen,that yougest group of both men and wonen spent the most time to phythical activities, over the 282 min for man and near 114 for woman.	Verb_pattern	semantics
In some countries not large local interpreneurships are facing  swallow of international corporations.	In some countries not large local interpreneurships are facing with swallow of international corporations.	Verb_pattern	semantics
Tis essay disagrees that the advantages of closing local companies prevail over the drawbacks of such way of economical evolution.	Tis essay disagrees that the advantages of closing local companies prevail the drawbacks of such way of economical evolution.	Verb_pattern	semantics
Than, it will discussed,why transnational corparations have a bad influence on national economics of developing countries.	Than, it will discussed,why transnational corparations have bad influense for national economics of developing countries.	Verb_pattern	semantics
Men are more involved in exercising than women in the given period.	Men are more involved into exercising than women in the given period.	Verb_pattern	semantics
Mostly this affects increasing product quality and overall service benefits.	Mostly this affects on increasing product quality and overall service benefits.	Verb_pattern	semantics
On the other hand, these huge companies can have a bad impact on local economy.	On the other hand, these huge companies can have a bad impact.	Verb_pattern	semantics
The owners of small local companies are people, who live here, so with replacing them by bigger companies, they lose their jobs and money to provide for their families.	The owners of small local companies are people, who live here, so with replacing them by bigger companies, they lose their jobs and money to provide their families.	Verb_pattern	semantics
Also we can see that men over 75 years spent 3 times more time on sport than women at the same age.	Also we can see that men over 75 years spent 3 times more for sport than women at the same age.	Verb_pattern	semantics
Moreover, the graph shows that women over 75 spent only about 10 minutes on exercises and sport facilities.	Moreover, the graph shows that women over 75 spent only about 10 minutes for exercises and sport facilities.	Verb_pattern	semantics
To sum up, there are a lot of advantages and disadvantages of replacing small local businesses with large, multinational brands.	To sum up, there are a lot of advantages and disadvantages of replacing small local businesses by large, multinational brands.	Verb_pattern	semantics
For example, Starbucks Company, a multinational coffee shop company, are hiring many local citizens in Semarang, Indonesia, and this results in the decreasing rate of unemployment in that area from 11% to 8%.	For example, Starbucks Company, a multinational coffee shop company, are hiring many local citizens in Semarang, Indonesia, and this results the decreasing rate of unemployment in that area from 11% to 8%.	Verb_pattern	semantics
The chart provides the data showing that during 2012 women were more active at the age of 16-24, they spent 114,1 minutes on exercise.	The chart provides the data showing that during 2012 women were more active at the age of 16-24, they spent 114,1 minutes for exercise.	Verb_pattern	semantics
The worldwide process of globalization not only influences cultural traditions, but also makes small businesses give their place to global ones.	The worldwide process of globalization not only influences cultural traditions, but also makes small businesses to give their place to global ones.	Verb_pattern	semantics
Overall, we can see that men did sport and exercises more than women at any age, except for the group of age from 55 to 64.	Overall, we can see that men did sport and exercises more than women at any age, except in the group of age from 55 to 64.	Verb_pattern	semantics
Speaking honestly, i now a lot of healthy people who refused to watch sport and benefit in a lot of good things like more free time for family and trainings.	Speaking honestly, i now a lot of healthy people who refused to watch sport and benefit a lot of good things like more free time for family and trainings.	Verb_pattern	semantics
