sentence_good	sentence_bad	error_type	field
Only in the age group of 55-64 was the trend reversed.	Only in the age group of 55-64 the trend was crashed.	Word_order	syntax
For example, as part of COVID-19 spreading, many local companies disappeared from the market and unemployment increased.	For example, as part of the spread of COVID-19, many local companies disappeared from the market and unemployment increased.	Word_order	syntax
It is evident from this chart that throught the year 2012 the sport was more ppular berween young people.	It is evident from this chart that throught the 2012 year the sport was more ppular berween young people.	Word_order	syntax
Thereby, they may not have any icentives to develop their products loosing their clients and becoming "dead brends".	Thereby, they may have not any icentives to develop their products loosing their clients and becoming "dead brends".	Word_order	syntax
Only in ages from 55 to 64, were women doing more exercises, but the difference is quite small.	Only in ages from 55 to 64, women doing more exercises, but the difference is quite small.	Word_order	syntax
It is clear that men doing sports much often than women at almost all ages, but, interestingly, women aged 55-64 are more active than men in the same age.	It is clear that men doing sports much often than women almost in all ages, but, interestingly, women aged 55-64 are more active than men in the same age.	Word_order	syntax
For example in Russia owners of fruits and vegetables markets often employ illegal migrants and avoid paying any taxes and at the same times worker can easily be fired just because owner of business wanted so.	For example in Russia owners of fruits and vegetables markets often employ illegal migrants and avoid paying any taxes and at the same times worker easily can be fired just because owner of business wanted so.	Word_order	syntax
First of all, men of all ages, except for age 55-64, given in the graph have a stronger attitude for sport, than women.	First of all, men of all ages, except for 55-64 age, given in the graph have a stronger attitude for sport, than women.	Word_order	syntax
For instance, Google corporation is one of the biggest companies in the world, which has its officies in almost every country, a lot of people work there, their work place and salary is stable.	For instance, Google corporation is one of the biggest companies in the world, which has its officies almost in every country, a lot of people work there, their work place and salary is stable.	Word_order	syntax
In 2012 in the age of 16 to 24 people did more sports, than in other ages.	In 2012 in the age of 16 to 24 people did sports more, than in other ages.	Word_order	syntax
Men aged 25-34 spent about 154 minutes on sport, whereas women spent 92,8 minutes.	About 154 minutes men spent on sport in the age 25-34, whereas women spent 92,8 minutes.	Word_order	syntax
The same pattern when males spent more time on sport than females can be seen in other ages, but from 55 to 64 years of old women were predominated men with 55,4 and 52,7 minutes respectively.	The same pattern when males spent on doing sport more than females can be seen in other ages, but from 55 to 64 years of old women were predominated men with 55,4 and 52,7 minutes respectively.	Word_order	syntax
In the last years of persons life women spent 10 minutes on doing sports activities, while men spent under 30 minutes, which was smaller than ever.	In the last years of persons life women spent on doing sports activities 10 minites, while men spent under 30 minutes, which was smaller than ever.	Word_order	syntax
This also affects domestic industries and businesses inside the country wich leads to less growth within and overall more dependency on foreing entities for money.	Also this affects domestic industries and businesses inside the country wich leads to less growth within and overall more dependency on foreing entities for money.	Word_order	syntax
