texts_good	texts_bad	field	error_type
Intellectual pirates are like stealers, so they are punished by government and societies.	Intellectual pirates like a stealler, so they are punished by government and societies.	discourse	Absence_comp_sent
Italian charts show us that the middle-aged population will change roughly, it will fall by 15% in number%.	Italian charts show us that the middle-aged population will change roughly, it will fall by 15%.	discourse	Absence_comp_sent
(12 million visitors) The second popular country was Spain with 9 million British residents.	(12 million visitors) The second country was Spain with 9 million British residents.	discourse	Absence_explanation
(45 million per year) The Los Angeles subway system is the youngest.	(45 million per year) The Los Angeles subway system I'd the youngest.	discourse	Absence_comp_sent
So we can help this region moreover we could increase our population by raising the quality of food.	So we can help this region moreover we could increase our population by quality food.	discourse	Absence_comp_sent
11,5% and 34,0%, in 2000 it was 14,3% and 50.1%. The group from 15 to 59 years in Italy of the start of 21th century was more than a half of all populofion, but in 50 years situofion will be showing and rofe will be lower than 50% (46,2%).	11,5% and 34,0%, and 2000 14,3% and 50.1%. The group from 15 to 59 years in Italy of the start of 21th century was more than a half of all populofion, but in 50 years situofion will be showing and rofe will be lower than 50% (46,2%).	discourse	Absence_comp_sent
12% were transported by rail and drastically less machinery goods were transported by road by road hitting only 2%.	12% were transported by rail and drastically less by road hitting only 2%.	discourse	Absence_comp_sent
The number of 15-59 years old people in Yemen is increasing, while in Italy this number decreases.	15-59 years people in Yemen is increasing, while in Italy this number decreases.	discourse	Absence_comp_sent
Only 16.8 million girls study in primary school and I think that it is awesome.	Only 16.8 million girls study in primary school and I think that this awesome.	discourse	Absence_comp_sent
2011 year was the period when investments were on the maximum point and it was about 279 billion dollars but after that ,during two years later, dramatically fall.	2011 was the period when investments were on the maximum point and it was about 279 billion dollars but after that ,during two years later, dramatically fall.	discourse	Absence_comp_sent
In 2012 mobile usage of Facebook was rather unpopular because only a little  less than 60 million people used this device for chatting in this social network.	2012 mobile usage of Facebook was rather unpopular because only a little  less than 60 million people used this device for chatting in this social network.	discourse	Absence_comp_sent
In 2013 the number of mobile Facebook users has a big increase and there were about 100 million people who preferred to use their mobile device to access to Facebook.	2013 the number of mobile Facebook users has a big increase and there were about 100 million people who preferred to use their mobile device to access to Facebook.	discourse	Absence_comp_sent
In 2013 the amount of the usage of this social network was slightly reduced, therefore about 140 million people used their desktops for an access to Facebook.	2013 the amount of the usage of this social network was slightly reduced, therefore about 140 million people used their desktops for an access to Facebook.	discourse	Absence_comp_sent
21.6 million girls and 11.1 million boys did not go to school.	21.6 million girls and 11.1 million boys not went to school.	discourse	Absence_comp_sent
22 percent of users aged over 65 use LinkedIn, while only 6% of them use Instagram.	22 percent of 65+ users use LinkedIn, while only 6% of them use Instagram.	discourse	Absence_explanation
282.1 minutes males spent time on sports in 2012 in young age which almost twice as high as the number of women in the same age group.	282,1 males spent time on sports in 2012 in young age which almost twice as high as the number of women in the same age group.	discourse	Absence_explanation
3,6% are people that are older than 60+ years old.	3,6% are people have age 60+ years old.	discourse	Absence_comp_sent
30% of the students are from 26 to 40 years old old, and only 15% were 40 years old and above.	30% of the students are from 26 to 40 years old, and only 15% were 40 years and above.	discourse	Absence_explanation
30-49 year old group prefers to spend time on Facebook and Linkedin, the same we can say for 50-64 year group of users.	30-49 year group prefers to spend time on Facebook and Linkedin, the same we can say for 50-64 year group of users.	discourse	Absence_explanation
30-49 year group prefers to spend time on Facebook and Linkedin, the same we can say for 50-64 year old users of users.	30-49 year group prefers to spend time on Facebook and Linkedin, the same we can say for 50-64 year group of users.	discourse	Absence_explanation
People of 40 years and plus age group make almost a half of a course in arts by reaching 45 per cent.	40 years and plus make almost a half of a course in arts by reaching 45 per cent.	discourse	Absence_comp_sent
46,2% is comprised by  people whose age 15-59.	46,2% is people whose age 15-59.	discourse	Absence_comp_sent
46,2% is people whose age is 15-59 years old.	46,2% is people whose age 15-59.	discourse	Absence_comp_sent
53% of people aged 18 to 29 use Instagram.	53% of people from 18 to 29 use Instagram.	discourse	Absence_explanation
The number of 60+ years old people were accounted for 24,1% in 2000, and it is expected to increase to 42,3%.	60+ year people were accounted for 24,1% in 2000, and it is expected to increase to 42,3%.	discourse	Absence_comp_sent
The chart goes from 62% of 26-40 years old people, to 23% of people who are 40 years old, and only 15% of the younger generation from 18-25 years olds.	62% of 26-40 years old people, to 23% of people who are 40 years old, and only 15% of the younger generation from 18-25 years olds.	discourse	Absence_explanation
62% of 26-40 years old people, to 23% of people who are 40 years old, and then only 15% of the younger generation from 18-25 years olds.	62% of 26-40 years old people, to 23% of people who are 40 years old, and only 15% of the younger generation from 18-25 years olds.	discourse	Absence_comp_sent
70% females and only 30% of men% studied on this level.	70% females and only 30% studied on this level.	discourse	Absence_explanation
70% of male graduates got a postgraduate diploma, the same as undergraduate diplomas among women, and it is the second notceable figure for this bar chart.	70% of male graduates got a postgraduate diploma, the same as undergraduate diplomas among women, and the second noticable figure for this bar chart.	discourse	Absence_comp_sent
87 percent who are people who are 18 to 29 years old are registered Facebook users..	87 percent who are people who are 18 to 29 years old are registered.	discourse	Absence_explanation
87% of young people (18-29 yers old) use it).	87% of young people (18 - 29 years).	discourse	Absence_explanation
The absolute leader in the terms of decreasin the terms ofg is Swedenbecause in the terms of 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	discourse	Absence_explanation
The absolute leader in decreasing the usage is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	The absolute leader in decreasing is Swedenbecause in 2015 it uses less than 30% of the fossil fuels energy, while France consumes less than 50% of it.	discourse	Absence_explanation
There are a great many people whose eyesight became  worse.	A big amount of people whose eyesight became  worse.	discourse	Absence_comp_sent
A big part of air travel is a surplus of flights, hence, state powers should offer suggestions, for example, some laws which could help the situation and decrease the number of flights.	A big part of air travel is surplus, hence, state powers should offer suggestions, for example, some laws which could help the situation and decrease the number of flights.	discourse	Absence_explanation
A bigger number of police officers also can help the country to reduce  crime.	A bigger number of police also can help the country to reduce  crime.	discourse	Absence_comp_sent
A case of point is that the People who use computers a lot should be informed about the need for sport activity.	A case of point is that the People who use computers a lot should be advertised by sport activity.	discourse	Absence_explanation
A century ago, people of my age had been working full time for 5 years already.	A century ago, people of my age had been working full time for 5 years.	discourse	Absence_explanation
A certain brand would have a single technology of producing goods in the whole world, meaning that it would use the same machines and products.	A certain brand would have a single technology of producing in the whole world, meaning that it would use the same machines and products.	discourse	Absence_explanation
A closer look at the table reveals that the trends for different age groups are not always similar in ....	A closer look at the table reveals that the trends for different age groups are not always similar.	discourse	Absence_comp_sent
A company may choose rather to monopolize other markets than to spend money for development of its current products , even the core ones.	A company may choose rather to monopolize other markets than to spend money for development its current products , even the core ones.	discourse	Absence_comp_sent
A different pattern is that there was approximately 3 times as high the percentage of food products transported by road than by rail.	A different pattern is that there was approximately 3 times as high food products transported by road than by rail.	discourse	Absence_explanation
A fewer percentage -- 30% of students who are at the age of 26-40 and the smallest group, which is only 15% of people who are 40 years old and above are interested in Science courses.	A fewer percentage -- 30% of students who are at the age of 26-40 and the smallest group, only 15% of people who are 40 years old and above are interested in Science courses.	discourse	Absence_comp_sent
Free-riding has always been a problem for many generations.	Free-riding has always a problem for many generations.	discourse	Absence_comp_sent
A good example of this is the war in Syria. Up to this day the government of the country still needs lots of funds, medical help and other financial support from developed countries to resist the attack of the opponent  and to provide a better standart of living for the victims.	A good example of this is the war in Syria. Up to this day the government of the country still needs lots of funds, medical help and other financial support from developed countries to resist the attack of the opponent  to provide a better standart of living for the victims.	discourse	Absence_comp_sent
A half of  the people are  children from 0 to 14 years old.	A half of  the people are  children of the aget between 0-14.	discourse	Absence_explanation
There are a lot of artists nowadays.	A lot of artist be nowaday.	discourse	Absence_comp_sent
There is a lot of information which teaches bad things.	A lot of information which tought bad things.	discourse	Absence_comp_sent
A lot of people are interested in the improving of their health.	A lot of people are interested in the improving their health.	discourse	Absence_comp_sent
A lot of people can support the naive idea of "importance of living with your lover, no matter where" , but when you start to understand that you cannot deal with all the difficulties only with love.	A lot of people can support the naive idea of "importance of living with your lover, no matter where" , when you start to understand that you cannot deal with all the difficulties only with love.	discourse	Absence_comp_sent
A lot of people think that it is burning it issue.	A lot of people think that is burning issue.	discourse	Absence_comp_sent
A lot of people use this opportunity not to pay for films or music.	A lot of people use this opportunity not to pay.	discourse	Absence_explanation
A lot of pollutions go to our atmosphere from planes' oil, because its TSI is very dangerous for our world.	A lot of pollutions go to our atmosphere from planes' oil, because its TSI very dangerous for our world.	discourse	Absence_comp_sent
A lot of pupils use their gadgets in free time, of course, there should be a medical check up for all citizens of countries.	A lot of pupils use their gadgets in free time, of course, should be a medical check up for all citizens of countries.	discourse	Absence_comp_sent
A more detailed look reveals that in 2012 people preferred computers to phones, the number of computer users was near 150 millions.	A more detailed look reveals that in 2012 people preferred computers to phones, the number of users was near 150 millions.	discourse	Absence_explanation
The percentages of transportation of chemicals are approximately the same.	The percentages of transportation of chemicals approximately the same.	discourse	Absence_comp_sent
A recent research by the Higher School of Economics found that the majority of people prefer big brands  shops to local ones.	A recent research by the Higher School of Economics found that the majority of people prefer big brands  shops to local.	discourse	Absence_comp_sent
A significant amount of research in the field of science is financed by private corporations rather than by governments.	A significant amount of research in the field of science is financed by private corporations rather than governments.	discourse	Absence_explanation
A usual worker is paid for creating the product, so it would be paid fair if musicians and producers of films could be paid as much as they deserve.	A usual worker is paid for creating the product, so it would be fair if musicians and producers of films could be as much as they deserve.	discourse	Absence_comp_sent
A vast majority of people are convinced that the level of crimes committed by young people went up dramatically and in modern day the rate reached its peak.	A vast majority of people are convinced that the level of crimes among young people went up dramatically and in modern day the rate reached its peak.	discourse	Absence_explanation
As for the gender issue, in each region  in each time period more boys than girls were educated.	As for the second tendency, in each region  in each time period more boys than girls were educated.	discourse	Absence_explanation
The population aged over 65 in Sweden are about 20%, a little bit less than 15% in the USA, and just about 7% in Japan.	About 20% of population aged over 65 in Sweden, a little bit less than 15% in the USA, and just about 7% in Japan.	discourse	Absence_comp_sent
About 50 million people used mobile version of Facebook  during 2012; in contrast, the number of them increased sharply by March 2013 accounting for about 90 million users.	About 50 million people used mobile devices during 2012; in contrast, the number of them increased sharply by March 2013 accounting for about 90 million users.	discourse	Absence_explanation
It was about 80%.	About 80%.	discourse	Absence_comp_sent
About another example, that/which I read last week.	About another example I read last week.	discourse	Absence_comp_sent
According to the chart, in 2000 the high percentage of the population was made up by 15-59 years old people.	According to the chart, in 2000 the high percentage of the population was made up by 15-59 years people.	discourse	Absence_comp_sent
According to this bar chart, the amount of children from Africa and the rest of world without possibilities to study in a primary school is dropping slowly.	According this bar chart, the amount of children from Africa and the rest of world without possibilities to study in a primary school is dropping slowly.	discourse	Absence_comp_sent
According to Yemen, it can be said, that the amount of old people will increase in 2050 from 3,6% to 5,7%.	According to Yemen, it can be said, the amount of old people will increase in 2050 from 3,6% to 5,7%.	discourse	Absence_comp_sent
According to the bar chart, the sales of printed books will go down by about 3 billion US dollars in 2018 and will reach only 8,5 billion.	According to the bar chart, the print books will go down by about 3 billion US dollars in 2018 and will reach only 8,5 billion.	discourse	Absence_explanation
