texts_good	texts_bad	field	error_type
Burger King has more money and opportunities in the modern business world than "Chicken with us".	Burgers King has more money and opportunities in the modern business world than "Chicken with us".	morphology	Noun_number
Every Intellectual Intellectual property belongs to one who produces it - they said.	Every Intellectual properties belongs to one who produces it - they said.	morphology	Noun_number
Every Intellectual properties belongs to one who produces it - they say.	Every Intellectual properties belongs to one who produces it - they said.	morphology	Tense_choice
Intellectual pirates like a stealler, so they are punished by government and society.	Intellectual pirates like a stealler, so they are punished by government and societies.	morphology	Noun_number
Mac Cosmetics is a good example. They have vegan certificates, the certificates that their cosmetics were not tested on animals and eco-friendly company certificates.	Mac Cosmetics is a good example. They have vegan certificate, the certificate that their cosmetics were not tested on animals and eco-friendly company certificate.	morphology	Noun_number
Mac Cosmetics is a good example. They have vegan certificates, the certificates that their cosmetics were not tested on animals and eco-friendly company certificates.	Mac Cosmetics is a good example. They have vegan certificate, the certificate that their cosmetics were not tested on animals and eco-friendly company certificate.	morphology	Noun_number
Samsung, Blackberry and HTC in 2015 had almost the same percentage share.	Samsung, Blackberry and HTC in 2015 have almost the same percentage share.	morphology	Tense_choice
(114/1 mof).To sum up, analyzofg these data, it can be seen than men of different ages are more fofd of sports than women.	(114/1 mof).To sum up, analyzofg these data, it can be seen than men of different ages are more fofd of sports than women.	morphology	Tense_choice
(44) *The main benefit of expanding large brands in the market is keeping a high level of quantity and quality of goods.	(44) *The main benefit of expanded large brands in the market is keeping a high level of quantity and quality of goods.	morphology	Tense_choice
(5,9%) Overall, almost all unemployment rates remained at the same level between 2014 and 2015, except the EU, Latin America and the Middle East.	(5,9%) Overall, almost all unemployment rates have remained at the same level between 2014 and 2015, except the EU, Latin America and the Middle East.	morphology	Tense_choice
From 2000 the situation has changed dramatically.	From 2000 the situation changed dramatically.	morphology	Tense_choice
So we can help these regions; moreover we could increase our population by quality food.	So we can help this region moreover we could increase our population by quality food.	morphology	Noun_number
1,4% of people had found a job.	1,4% of people have found a job.	morphology	Tense_choice
11,5% and 34,0%, and 2000 14,3% and 50.1%. The group from 15 to 59 years in Italy of the start of 21st century was more than a half of all populofion, but in 50 years situofion will be showing and rofe will be lower than 50% (46,2%).	11,5% and 34,0%, and 2000 14,3% and 50.1%. The group from 15 to 59 years in Italy of the start of 21th century was more than a half of all populofion, but in 50 years situofion will be showing and rofe will be lower than 50% (46,2%).	morphology	Tense_choice
12,5% had not changed since 2014.	12,5% has not changed since 2014.	morphology	Tense_choice
On the other hand, it is difficult for small local businesses to withstand stiff competition with large well-known brands, which usually offer more affordable goods.	On the other hand, it is difficult for small local business to withstand stiff competition with large well-known brands, which usually offer more affordable goods.	morphology	Noun_number
In Japan and Sweden the share of the elderly has grown up in period of between 1980 and nowadays, nevertheless, the USA has maintained the same level.	In Japan and Sweden the share of the elderly has grown up in period of between 1980 and nowadays, nevertheless, the USA keeps the same level.	morphology	Tense_choice
Fifteen years later, in 2005, it of boys who did regular physical activities was just under 90 , while that of girls was 10  less and it was approximately 80 .	Fifteen years later, in 2005, it of boys who did regular physical activity was just under 90 , while that of girls was 10  less and it was approximately 80 .	morphology	Noun_number
15% of the electricity was used for lighting, TV , and radio , and 15 percent of electric energy was used for vacuum cleaners, food mixers , and others.	15% of the electricity are used for lighting, TV , and radio , and 15 percent of electric energy are used for vacuum cleaners, food mixers , and others.	morphology	Tense_choice
15% of the electricity was used for lighting, TV , and radio , and 15 percent of electric energy was used for vacuum cleaners, food mixers , and others.	15% of the electricity are used for lighting, TV , and radio , and 15 percent of electric energy are used for vacuum cleaners, food mixers , and others.	morphology	Tense_choice
16 - 24 year old men doing sport for 282 minutes and women for 114 minutes.	16 - 24 years old men doing sport for 282 minutes and women for 114 minutes.	morphology	Noun_number
16 - 24 years old men do sport for 282 minutes and women for 114 minutes.	16 - 24 years old men doing sport for 282 minutes and women for 114 minutes.	morphology	Tense_choice
16-24-year-old girls spend 114.1 minutes while women over 75 spend just 10 minutes.	16-24-year-old girls spend 114.1 minutes while women over 75 spend just 10 minutes.	morphology	Tense_choice
17,3 percent are used for such gadgets as ovens, kettles etc.	17,3 percents are used for such gadgets as ovens, kettles etc.	morphology	Noun_number
17,5% percent of electricity used for ovens, kettles, washing machines and 15% percent for lighting, TV and radio.	17,5% percents of electricity used for ovens, kettles, washing machines and 15% percents for lighting, TV and radio.	morphology	Noun_number
17,5% percent of electricity used for ovens, kettles, washing machines and 15% percent for lighting, TV and radio.	17,5% percents of electricity used for ovens, kettles, washing machines and 15% percents for lighting, TV and radio.	morphology	Noun_number
The horizontal axis shows categories from 16 to over 75 years old while the vertical axis shows the time spent from 0 to 300 minutes.	The horizontal axis shows categories from 16 to over 75 year old while the vertical axis shows the time spent from 0 to 300 minutes.	morphology	Noun_number
1979 there was a lowest point, while 1999 was the highest pick.	1979 there is a lowest point, while 1999 is the highest pick.	morphology	Tense_choice
1979 there was a lowest point, while 1999 was the highest pick.	1979 there is a lowest point, while 1999 is the highest pick.	morphology	Tense_choice
1980-1990- was a period of a little decline in Sweden and the the USA`s 65 aged population, in the USA it remained stable by 2018.	1980-1990- is a period of a little decline in Sweden and the the USA`s 65 aged population, in the USA it remained stable by 2018.	morphology	Tense_choice
The two middle-aged groups are the most active users of LinkedIn.	The two middle-aged group are the most active users of LinkedIn.	morphology	Noun_number
2013 the number of mobile Facebook users had a big increase and there were about 100 million people who preferred to use their mobile device to access to Facebook.	2013 the number of mobile Facebook users has a big increase and there were about 100 million people who preferred to use their mobile device to access to Facebook.	morphology	Tense_choice
25-34 year old Englishmen are in second place in time spent on doing sport.	25-34 years old Englishmen are in second place in time spent on doing sport.	morphology	Noun_number
25-34 years old Englishmen were in second place in time spent on doing sport.	25-34 years old Englishmen are in second place in time spent on doing sport.	morphology	Tense_choice
25-34 year old men doing excercises more often then 35-44 aged by 33 minutes.	25-34 years old men doing excercises more often then 35-44 aged by 33 minutes.	morphology	Noun_number
25-34 year old women did exercise 92,8 minutes, as in 35-44 year old.	25-34 years old women did exercise 92,8 minutes, as in 35-44 years old.	morphology	Noun_number
26-40 year olds are less involved into arts (25%) , and science is not so popular among 40 year olds (15%).	26-40 year olds are less involved into arts (25%) , and science is not so popular among 40 years olds (15%).	morphology	Noun_number
26-40 year olds were more interested in sports and health courses (62%).	26-40 years olds were more interested in sports and health courses (62%).	morphology	Noun_number
2) Latin America had a big increase in GDP., reaching a new level and creating working places , they reduced unemployment.	2) Latin America is having a big increase in GDP., reaching a new level and creating working places , they reduced unemployment.	morphology	Tense_choice
2) Latin America is having a big increase in GDP., having reached a new level and creating working places , they reduced unemployment.	2) Latin America is having a big increase in GDP., reaching a new level and creating working places , they reduced unemployment.	morphology	Tense_choice
2) Latin America is having a big increase in GDP., reaching a new level and created working places , they reduced unemployment.	2) Latin America is having a big increase in GDP., reaching a new level and creating working places , they reduced unemployment.	morphology	Tense_choice
30 percent of people from age 26 to 40 vwasit science courses, which was equal to the percentage of people from 18 to 25 attending art courses.	30 percent of people from age 26 to 40 visit science courses, which is equal to the percentage of people from 18 to 25 attending art courses.	morphology	Tense_choice
30% of the students are from 26 to 40 years old, and only 15% are 40 years and above.	30% of the students are from 26 to 40 years old, and only 15% were 40 years and above.	morphology	Tense_choice
35 percent of men used Facebook for seeing funny posts.	35 percent of men use Facebook for seeing funny posts.	morphology	Tense_choice
35% of products that were transported by rail were metals, but metals represent only 11% of goods transported by road.	35% of products that are transported by rail are metals, but metals represent only 11% of goods transported by road.	morphology	Tense_choice
35% of products that were transported by rail were metals, but metals represent only 11% of goods transported by road.	35% of products that are transported by rail are metals, but metals represent only 11% of goods transported by road.	morphology	Tense_choice
35% of products that are transported by rail are metals, but metals accounted for only 11% of goods transported by road.	35% of products that are transported by rail are metals, but metals represent only 11% of goods transported by road.	morphology	Tense_choice
35% of women and 25% of men considered this reason to use Facebook a major one.	35% of women and 25% of men consider this reason to use Facebook a major one.	morphology	Tense_choice
43% of women used Facebook for seeing funny posts and its number is marked bigger than the number of men who do the same (35%).	43% of women use Facebook for seeing funny posts and its number is marked bigger than the number of men who do the same (35%).	morphology	Tense_choice
