texts_good	texts_bad	field	error_type
(12 million visitors) The second country was Spain with 9 million British holiday-makers.	(12 million visitors) The second country was Spain with 9 million British residents.	semantics	Word_choice
16% of chemicals were transported by roads .	16% of roads are busy by chemicals.	semantics	Word_choice
18-25-year-old students make up  the majority of the science course with 55 per cent.	18-25-year-old students make the majority of the science course with 55 per cent.	semantics	Verb_pattern
2013 the number of mobile Facebook users has a big increase and there were about 100 million people who preferred to use their mobile device to access  Facebook.	2013 the number of mobile Facebook users has a big increase and there were about 100 million people who preferred to use their mobile device to access to Facebook.	semantics	Verb_pattern
30 percent of people from age 26 to 40 attended science courses, which is equal to the percentage of people from 18 to 25 attending art courses.	30 percent of people from age 26 to 40 visit science courses, which is equal to the percentage of people from 18 to 25 attending art courses.	semantics	Word_choice
30 percent of the chart are made up by young people and 25 percent comes to 26-40 years old students.	30 percent of the chart takes young people and 25 percent comes to 26-40 years old students.	semantics	Word_choice
30 percent of the chart takes young people and 25 percent are 26-40 years old students.	30 percent of the chart takes young people and 25 percent comes to 26-40 years old students.	semantics	Word_choice
40 years and plus make up almost a half of a course in arts by reaching 45 per cent.	40 years and plus make almost a half of a course in arts by reaching 45 per cent.	semantics	Verb_pattern
People aged 40 years , and older are mostly interested in arts courses , and they are the biggest group in this course, which is 40% of all the comers.	40 years old , and older are mostly interested in arts courses , and they are the biggest group in this course, which is 40% of all the comers.	semantics	Word_choice
40% of women had Undergraduate diploma, in comparison with  Undergraduate diploma in mens range.	40% of women had Undergraduate diploma, that is the compare  Undergraduate diploma in mens range.	semantics	Word_choice
40% of women had Undergraduate diploma, that is the compare  Undergraduate diploma for men.	40% of women had Undergraduate diploma, that is the compare  Undergraduate diploma in mens range.	semantics	Word_choice
63 percent of them consider Facebook to be the best social network, while only 11 percent prefer Instagram.	63 percent of them consider Facebook to be the most available social network, while only 11 percent prefer Instagram.	semantics	Word_choice
90% per cent of men hold the skilled vocational diploma, and it is nine times as high as the percentage number for women.	90% per cent of men hold the skilled vocational diploma, and it is nine times as high as figure for women.	semantics	Word_choice
A building should not be an eyesore, but an attraction and something eye-pleasant to make residents , as well as any visitors to a place, feel happy and excited by seeing a building.	A building should not be an eyesore, but an attraction and something eye-pleasant to make residents , as well as any visitors to a place, feel happy and excited from seeing a building.	semantics	Verb_pattern
The style of a building cab say a lot about its history.	The style of a building may say a lot about its history.	semantics	Word_choice
What I mean is graffiti.	A case of point is graffiti.	semantics	Word_choice
A closer look at charts reveals that the number of medium-aged and elderly people is expected to increase.	A closer look at charts reveals that the number of medium-aged and elderly people is predicted to increase.	semantics	Word_choice
A closer look at the data showsthat it is an art course that has approximately equal parts of all age groups, while other courses have a narrower age range.	A closer look at the data showsthat it is an art course that has approximately equal parts of all age groups, while other courses have more specialisation in the age of listeners.	semantics	Word_choice
Family is necessity for a kid development.	Family is a nesseserry devise for a kid development.	semantics	Word_choice
A few decades ago, society faced feminism which lead to various problems.	A few decades ago, society faced to feminism which lead to various problems.	semantics	Verb_pattern
A fewer percentage -- 30% of students, who are at the age of 26-40 and the smallest group, only 15% of people who are 40 years old and above are interested in Science courses.	A fewer percentage -- 30% of students who are at the age of 26-40 and the smallest group, only 15% of people who are 40 years old and above are interested in Science courses.	semantics	Verb_pattern
A fewer percentage -- 30% of students who are at the age of 26-40, and the smallest group, only 15% of people who are 40 years old and above are interested in Science courses.	A fewer percentage -- 30% of students who are at the age of 26-40 and the smallest group, only 15% of people who are 40 years old and above are interested in Science courses.	semantics	Verb_pattern
A fewer percentage -- 30% of students who are at the age of 26-40 and the smallest group, only 15% of people who are 40 years old and above, are interested in Science courses.	A fewer percentage -- 30% of students who are at the age of 26-40 and the smallest group, only 15% of people who are 40 years old and above are interested in Science courses.	semantics	Verb_pattern
A lot of people are afraid of flights because nowadays there are a lot of terrorist attacks on planes.	A lot of people afraid of flights because nowadays there are a lot of terrorist attacks on planes.	semantics	Verb_pattern
A lot of people claim that high salary is more important than having an free time.	A lot of people claim that high salary is more important than having an extra time.	semantics	Word_choice
A lot of people nowadays cannot do sport because they do not have money for some activity, which are interesting for them.	A lot of people nowadays cannot doing sport because they do not have money for some activity, which are interesting for them.	semantics	Verb_pattern
A lot of people suffer from poverty, hunger, war, etc.	A lot of people suffer poverty, hunger, war, etc.	semantics	Verb_pattern
A lot of people did not approve of it.	A lot of people were not agree with it.	semantics	Word_choice
A lot of scientists: psychologists, sociologists and even biologists discuss what affects  personality in higher extent: characteristics which we have from our birth day or influence of environment surrounding us.	A lot of scientists: psychologists, sociologists and even biologists discuss what affects on personality in higher extent: characteristics which we have from our birth day or influence of environment surrounding us.	semantics	Verb_pattern
