texts_good	texts_bad	field	error_type
If a person cannot compete using an honest way, why should we call them sportsman?	If a person cannot compete using an honest way, why we should call them sportsman?	syntax	Word_order
Why the masterpiece of music is less important for customers than masterpiece of art?	Why the masterpiece of music is less important for customers than masterpiece of art?	syntax	Word_order
2011, for instance, amount of investment rocketed up to 279 bn $.	2011, for instance, amount of investment rocketed up to 279 $ bn.	syntax	Word_order
282,1 males of young age spent on sports in 2012 which almost twice as high as the number of women in the same age group.	282,1 males spent time on sports in 2012 in young age which almost twice as high as the number of women in the same age group.	syntax	Word_order
282,1 males spent time on sports in 2012 in young age , which is almost twice as high as the number of women in the same age group.	282,1 males spent time on sports in 2012 in young age which almost twice as high as the number of women in the same age group.	syntax	Relative_clause
30% of food products were provided by road.	30% of roads are provided for food products.	syntax	Word_order
35% of all goods transported by rail is metals.	35% of all transported goods by rail is metals.	syntax	Word_order
35% of goodswhich were transported by rail, were metals, at the same time, 30% of goods, transported by road were food products.	35% of goods, which were transported by rail, were metals, at the same time, 30% of goods, transported by road were food products.	syntax	Relative_clause
70 percent of women and 38 percent of men had it in 1999.	70 percent of women had it in 1999 and 38 percent of men.	syntax	Word_order
73% of them use this network , while only 31% use Linkedin , which is less than a half.	73% of them use this network , while only 31% use Linkedin which is less than a half.	syntax	Relative_clause
90 percent is a maximum among the school graduates who have a Skilled vocational diploma.	90 percent is a maximum among the school graduates , who have a Skilled vocational diploma.	syntax	Relative_clause
A bigger number of police can also help the country to reduce  crime.	A bigger number of police also can help the country to reduce  crime.	syntax	Word_order
Our media, especially news, can be a bright example of this.	A bright example of this can be our media, especially news.	syntax	Word_order
A foreign multinational brand will probably produce their products in other country and pay their taxes there, while local production would not only pay their taxes, but will support their industry.	A foreign multinational brand probably will produce their products in other country and pay their taxes there, while local production would not only pay their taxes, but will support their industry.	syntax	Word_order
A good illustration of it is a typical situation on a factory where every jober has to receive salary , because he or she every day go to a factory and does his\her job.	A good illustration of it is a typical situation on a factory where every jober has to receive salary , because he or she every day go to a factory and does his\her job.	syntax	Word_order
A great number of people supposes that children's decisionswhich they make outside their home are better.	A great number of people supposes that children's decisions, which they make outside their home are better.	syntax	Relative_clause
The last reason but not the least is that there is a possibility to improve the technical development to show the locals new scientific  inventions or to invent something important on the area where it's necessary.	The last reason but not the least is that there is a possibility to improve the technical development, to show the locals new scientific  inventions or to invent something important on the area, where it's necessary.	syntax	Relative_clause
A look at the diagram highlights the fact that N. Africa has the biggest unemployment rate, while the number of peoplewho had no work is three times less in S. Asia.	A look at the diagram highlights the fact that N. Africa has the biggest unemployment rate, while the number of people, who had not work is three times less in S. Asia.	syntax	Relative_clause
A lot of authorities suppose that it is simple to write the rules and laws which will protect a big amount of travels.	A lot of authorities suppose that it is simple to write the rules and laws, which will protect a big amount of travels.	syntax	Relative_clause
A lot of people think that countries need to produce the food and should aim to not import a lot.	A lot of people think that countries need to produce the food and should aim to import not a lot.	syntax	Word_order
